MouseID,Diet,Group,Study,wk0,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,wk11,wk12,wk13,wk14,wk15,wk16,wk17,wk18,wk19,wk20,wk21,wk22,wk23,wk24,wk25,wk26,wk27
1195,LF,Lean,MC4,0,93,164,239,322,406,492,577,657,753,865,924,1034,1150,1263,1381,1486,1604,1687,1758,1842,1931,2031,2112,2182,2263,2340,2407
1196,LF,Lean,MC4,0,93,164,239,322,406,492,577,657,753,865,924,1034,1150,1263,1381,1486,1604,1687,1758,1842,1931,2031,2112,2182,2263,2340,2407
1197,LF,Lean,MC4,0,93,164,239,322,406,492,577,657,753,865,924,1034,1150,1263,1381,1486,1604,1687,1758,1842,1931,2031,2112,2182,2263,2340,2407
1198,LF,Lean,MC4,0,93,164,239,322,406,492,577,657,753,865,924,1034,1150,1263,1381,1486,1604,1687,1758,1842,1931,2031,2112,2182,2263,2340,2407
1199,LF,Lean,MC4,0,114,179,259,345,433,518,604,690,794,871,1003,1109,1228,1341,1460,1569,1690,1779,1860,1945,2037,2134,2221,2294,2383,2469,2542
1200,LF,Lean,MC4,0,114,179,259,345,433,518,604,690,794,871,1003,1109,1228,1341,1460,1569,1690,1779,1860,1945,2037,2134,2221,2294,2383,2469,2542
1201,LF,Lean,MC4,0,114,179,259,345,433,518,604,690,794,871,1003,1109,1228,1341,1460,1569,1690,1779,1860,1945,2037,2134,2221,2294,2383,2469,2542
1203,HF,Obese,MC4,0,95,164,246,323,411,495,578,661,759,878,977,1076,1184,1293,1399,1512,1621,1700,1790,1890,1999,2121,2222,2308,2415,2518,2602
1204,HF,Obese,MC4,0,95,164,246,323,411,495,578,661,759,878,977,1076,1184,1293,1399,1512,1621,1700,1790,1890,1999,2121,2222,2308,2415,2518,2602
1205,HF,Obese,MC4,0,95,164,246,323,411,495,578,661,759,878,977,1076,1184,1293,1399,1512,1621,1700,1790,1890,1999,2121,2222,2308,2415,2518,2602
1206,HF,Obese,MC4,0,95,164,246,323,411,495,578,661,759,878,977,1076,1184,1293,1399,1512,1621,1700,1790,1890,1999,2121,2222,2308,2415,2518,2602
1207,HF,Obese,MC4,0,91,159,230,306,381,462,543,621,715,843,949,1078,1186,1292,1399,1500,1601,1674,1770,1867,1974,2093,2196,2287,2395,2497,2582
1208,HF,Obese,MC4,0,91,159,230,306,381,462,543,621,715,843,949,1078,1186,1292,1399,1500,1601,1674,1770,1867,1974,2093,2196,2287,2395,2497,2582
1209,HF,Obese,MC4,0,91,159,230,306,381,462,543,621,715,843,949,1078,1186,1292,1399,1500,1601,1674,1770,1867,1974,2093,2196,2287,2395,2497,2582
1210,HF,Obese,MC4,0,91,159,230,306,381,462,543,621,715,843,949,1078,1186,1292,1399,1500,1601,1674,1770,1867,1974,2093,2196,2287,2395,2497,2582
1211,HF,WC,MC4,0,132,234,369,487,607,734,849,965,1077,1109,1177,1271,1353,1432,1517,1596,1685,1747,1878,2003,2122,2256,2360,2450,2553,2657,2737
1212,HF,WC,MC4,0,132,234,369,487,607,734,849,965,1077,1109,1177,1271,1353,1432,1517,1596,1685,1747,1878,2003,2122,2256,2360,2450,2553,2657,2737
1213,HF,WC,MC4,0,132,234,369,487,607,734,849,965,1077,1109,1177,1271,1353,1432,1517,1596,1685,1747,1878,2003,2122,2256,2360,2450,2553,2657,2737
1214,HF,WC,MC4,0,132,234,369,487,607,734,849,965,1077,1109,1177,1271,1353,1432,1517,1596,1685,1747,1878,2003,2122,2256,2360,2450,2553,2657,2737
1215,HF,WC,MC4,0,131,216,320,431,541,648,760,874,989,1018,1080,1154,1237,1317,1407,1490,1584,1649,1784,1912,2036,2169,2275,2366,2471,2571,2661
1216,HF,WC,MC4,0,131,216,320,431,541,648,760,874,989,1018,1080,1154,1237,1317,1407,1490,1584,1649,1784,1912,2036,2169,2275,2366,2471,2571,2661
1217,HF,WC,MC4,0,131,216,320,431,541,648,760,874,989,1018,1080,1154,1237,1317,1407,1490,1584,1649,1784,1912,2036,2169,2275,2366,2471,2571,2661
1218,HF,WC,MC4,0,131,216,320,431,541,648,760,874,989,1018,1080,1154,1237,1317,1407,1490,1584,1649,1784,1912,2036,2169,2275,2366,2471,2571,2661
537,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,LF,Lean,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,HF,Obese,MC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
