MouseID,Group,Study,pgAT,sAT,Liver,Total_Mass
1195,Lean,MC4,0.7,0.4,1.6,41.3
1196,Lean,MC4,0.6,0.4,1.5,42.1
1197,Lean,MC4,1.1,0.5,1.4,29.8
1198,Lean,MC4,1.7,0.9,1.7,31.5
1199,Lean,MC4,1.8,1.2,1.4,34.5
1200,Lean,MC4,0.5,0.3,0.8,34.5
1201,Lean,MC4,1,0.6,1.3,36.1
1203,Obese,MC4,1.4,2.1,2.3,53.7
1204,Obese,MC4,2.1,2.3,2.9,54.1
1205,Obese,MC4,1.3,2.3,2.9,51.9
1206,Obese,MC4,1.2,1.9,2.7,50.8
1207,Obese,MC4,1.4,2.1,3.6,54.8
1208,Obese,MC4,1.2,2.7,3.4,54.7
1209,Obese,MC4,1.4,2.6,3.2,54.2
1210,Obese,MC4,1.5,2.6,3.3,53.3
1211,WC,MC4,1.6,1.8,2.2,52.3
1212,WC,MC4,1.7,1.9,3,52.3
1213,WC,MC4,1.7,2,3.4,54.6
1214,WC,MC4,1.5,2,2.4,51.2
1215,WC,MC4,1.9,2.2,3.4,56
1216,WC,MC4,2.2,1.6,2.6,50.6
1217,WC,MC4,2.3,1.5,0.9,44.8
1218,WC,MC4,1.6,2.2,2.5,52.2
537,Lean,MC2,,,,37
538,Lean,MC2,,,,34.3
539,Lean,MC2,1.5,0.8,1.8,37.4
540,Lean,MC2,1.3,0.9,1.7,33.4
541,Lean,MC2,,,,35.3
542,Lean,MC2,,,,29.6
543,Lean,MC2,1,0.5,1.8,32.4
544,Lean,MC2,,,,
545,Lean,MC2,1.8,0.9,1.9,38.2
546,Lean,MC2,,,,30.9
547,Lean,MC2,1.6,0.8,1.6,33.7
548,Lean,MC2,,,,30.2
549,Obese,MC2,,,,53
550,Obese,MC2,,,,63.5
551,Obese,MC2,,,,53.2
552,Obese,MC2,1.1,2.2,3.7,50.8
553,Obese,MC2,1.5,2.9,3.2,56.2
554,Obese,MC2,1.2,2.7,3.8,53.3
555,Obese,MC2,1.4,3.2,3.3,52.9
556,Obese,MC2,,,,55
557,Obese,MC2,1.3,2.8,3.5,56.9
558,Obese,MC2,,,,55
559,Obese,MC2,1.3,3.7,3.6,60
560,Obese,MC2,,,,51
561,WC,MC2,,,,51
562,WC,MC2,1.5,3.3,2.2,47.4
563,WC,MC2,1.7,2.2,3.5,50.1
564,WC,MC2,1.5,2.1,3.9,52.6
565,WC,MC2,,,,55.6
566,WC,MC2,1.4,2.9,2.6,51.2
567,WC,MC2,1.5,2.2,3.6,53
568,WC,MC2,,,,56.3
569,WC,MC2,,,,52.2
570,WC,MC2,2.3,2.6,3.2,54.8
571,WC,MC2,,,,55.8
572,WC,MC2,,,,50
1375,Lean,MC18,1.5,,2,40.6
1376,Lean,MC18,0.7,,1.5,34.2
1377,Lean,MC18,1.3,,1.3,35.2
1378,Lean,MC18,0.8,,1.7,37.4
1379,Lean,MC18,1.8,,1.7,38.8
1380,Lean,MC18,1.3,,1.6,36
1381,Lean,MC18,1.4,,1.5,39.6
1382,Lean,MC18,1.1,,1.6,35.2
1383,Lean,MC18,1.4,,1.5,33.2
1384,Lean,MC18,1.7,,1.9,40.5
1385,Lean,MC18,1,,2,35.9
1386,Lean,MC18,0.9,,1.7,34.4
1387,Obese,MC18,1.3,,0.2,50.8
1388,Obese,MC18,1.2,,0.2,53.9
1389,Obese,MC18,1.8,,0.1,51.3
1390,Obese,MC18,1.2,,0.2,54.2
1391,Obese,MC18,1.8,,3.8,53.5
1392,Obese,MC18,1.5,,3,48.2
1393,Obese,MC18,1.1,,3.8,55
1394,Obese,MC18,1.2,,3.7,50.7
1395,Obese,MC18,1.4,,3.1,53.5
1396,Obese,MC18,1.3,,4.2,47
1397,Obese,MC18,,,,55.5
1398,Obese,MC18,1.2,,2.7,48.2
1399,WC,MC18,2,,2.3,49.5
1400,WC,MC18,1.6,,2.8,54.5
1401,WC,MC18,2,,2.6,51.1
1402,WC,MC18,1.5,,3.2,53.5
1403,WC,MC18,1.4,,3.1,51.1
1404,WC,MC18,1.3,,4.2,58.2
1405,WC,MC18,1.3,,4,34.1
1406,WC,MC18,1.2,,3.5,52.7
1407,WC,MC18,1.7,,2.6,48.9
1408,WC,MC18,1.3,,3,51.4
1409,WC,MC18,2,,1.7,46.4
1410,WC,MC18,1.5,,3,50.2
1411,WL,MC18,0.6,,1.6,34.8
1412,WL,MC18,,,,36.3
1413,WL,MC18,,,,35.1
1414,WL,MC18,,,,31.8
1415,WL,MC18,0.5,,1.5,37.4
1416,WL,MC18,0.5,,1.7,37.3
1417,WL,MC18,0.5,,1.7,34.5
1418,WL,MC18,0.4,,1.6,34.7
1419,WL,MC18,0.4,,1.7,33.4
1420,WL,MC18,0.4,,1.6,36.1
1421,WL,MC18,0.6,,1.6,31.2
1422,WL,MC18,,,,39.1
1832,Lean,MC53,0.9,0.4,,34.3
1833,Lean,MC53,1,0.3,,36.7
1834,Lean,MC53,0.7,0.3,,34.1
1835,Lean,MC53,0.6,0.2,,33.6
1836,Lean,MC53,,,,35.4
1837,Lean,MC53,1.4,0.9,,36.3
1838,Lean,MC53,1.4,0.5,,35.1
1839,Lean,MC53,0.7,0.3,,31.2
1840,Lean,MC53,0.5,0.3,,32.8
1841,Lean,MC53,1.2,0.5,,33.7
1842,Lean,MC53,0.6,0.3,,30.9
1843,Lean,MC53,0.6,0.3,,34.2
1844,Obese,MC53,1.6,2.2,,56.9
1845,Obese,MC53,2.2,1.4,,52.8
1846,Obese,MC53,1.4,2.2,,49.8
1847,Obese,MC53,1.4,1.8,,47.2
1848,Obese,MC53,1.3,2.7,,53.3
1849,Obese,MC53,1.2,2.2,,50.9
1850,Obese,MC53,1.3,1.7,,48.7
1851,Obese,MC53,1.4,1.5,,47.9
1852,Obese,MC53,,,,
1853,Obese,MC53,,,,
1854,Obese,MC53,,,,
1855,Obese,MC53,,,,
1856,WC,MC53,2.2,1,,39
1857,WC,MC53,2.1,2.4,,49.7
1858,WC,MC53,1.5,1.7,,55.2
1859,WC,MC53,1.2,2.3,,54.9
1860,WC,MC53,,,,
1861,WC,MC53,,,,
1862,WC,MC53,1.3,2,,56.4
1863,WC,MC53,,,,
1864,WC,MC53,1.4,1.4,,43.9
1865,WC,MC53,1.9,2.4,,50.1
1866,WC,MC53,1.5,1.9,,49
1867,WC,MC53,,,,
1868,WL,MC53,0.4,0.3,,34.4
1869,WL,MC53,0.6,1.4,,39.9
1870,WL,MC53,0.9,0.6,,40.7
1871,WL,MC53,0.6,1.3,,43.6
1872,WL,MC53,0.4,0.4,,38.1
1873,WL,MC53,0.5,0.7,,39.7
1874,WL,MC53,0.5,0.4,,32.6
1875,WL,MC53,0.6,1.1,,37.7
1876,WL,MC53,0.7,0.9,,43.7
1877,WL,MC53,0.6,0.6,,40.8
1878,WL,MC53,0.6,1,,33.8
1879,WL,MC53,0.5,0.4,,38.8
1900,Lean,HLC90,1,0.4,,35.2
1901,Lean,HLC90,1,,,37.1
1902,Lean,HLC90,0.8,,,35.3
1903,Lean,HLC90,0.3,0.3,,30.9
1904,Lean,HLC90,,,,32.5
1905,Lean,HLC90,,,,33.8
1906,Lean,HLC90,,,,37.1
1907,Lean,HLC90,,,,32.4
1908,Lean,HLC90,1.2,0.5,,37.6
1909,Lean,HLC90,1.2,,,37.6
1910,Lean,HLC90,1.9,1,,41.2
1911,Lean,HLC90,0.6,,,32.4
1912,Obese,HLC90,1.3,2.1,,57.4
1913,Obese,HLC90,1.6,2,,55.4
1914,Obese,HLC90,1.9,,,53.5
1915,Obese,HLC90,1.1,1.8,,59.1
1916,Obese,HLC90,,,,54.1
1917,Obese,HLC90,1.4,,,52.9
1918,Obese,HLC90,,,,52.9
1919,Obese,HLC90,1.4,,,55.9
1920,Obese,HLC90,1,2.5,,54.2
1921,Obese,HLC90,1.2,,,53.2
1922,Obese,HLC90,0.9,2.2,,55.9
1923,Obese,HLC90,1.7,2.6,,55.4
1924,WL,HLC90,,,,
1925,WL,HLC90,,,,
1926,WL,HLC90,,,,
1927,WL,HLC90,0.9,1.6,,42.7
1928,WL,HLC90,0.5,,,43.1
1929,WL,HLC90,0.5,0.3,,
1930,WL,HLC90,0.7,0.9,,43.4
1931,WL,HLC90,0.7,,,41
1932,WL,HLC90,0.5,0.4,,32.6
1933,WL,HLC90,0.5,,,39.6
1934,WL,HLC90,0.4,0.4,,32.1
1935,WL,HLC90,0.6,,,36.5
1936,WC,HLC90,1.8,1.7,,53.5
1937,WC,HLC90,1.7,,,53.2
1938,WC,HLC90,1.3,,,53.8
1939,WC,HLC90,1.1,2.1,,48.3
1940,WC,HLC90,,,,51.1
1941,WC,HLC90,,,,50.7
1942,WC,HLC90,,,,55.7
1943,WC,HLC90,,,,53
1944,WC,HLC90,1.5,,,54.9
1945,WC,HLC90,,,,56.3
1946,WC,HLC90,1.2,,,53.6
1947,WC,HLC90,1.2,2.6,,55.6
1275,Lean,HLC56,0.3,,,29.8
1276,Lean,HLC56,1.2,0.9,1.4,35.2
1277,Lean,HLC56,1.4,0.8,1.5,34.2
1278,Lean,HLC56,1.2,,,38.5
1279,Lean,HLC56,0.9,0.5,1.5,34.4
1280,Lean,HLC56,0.5,0.4,1.1,30.3
1281,Lean,HLC56,0.5,0.6,1.4,32.7
1282,Lean,HLC56,1.3,0.8,1.8,35.4
1283,Lean,HLC56,1.3,,,39.8
1284,Lean,HLC56,0.7,,,35.3
1285,Lean,HLC56,1.6,0.9,1.5,36.2
1286,Lean,HLC56,1.6,1.1,2,42.4
1287,Obese,HLC56,1.9,2,1.8,49.7
1288,Obese,HLC56,,,,
1289,Obese,HLC56,1.3,2.3,3.2,53.2
1290,Obese,HLC56,1.7,1.8,3,53.7
1291,Obese,HLC56,1.6,,,48.9
1292,Obese,HLC56,,,,
