MouseID,Group,Study,0,15,30,45,60,90,120,150,180
1195,Lean,MC4,175,336,284,277,265,202,184,182,166
1196,Lean,MC4,177,282,235,245,221,162,182,167,193
1197,Lean,MC4,83,189,147,130,119,106,96,102,88
1198,Lean,MC4,152,307,298,274,265,257,235,187,162
1199,Lean,MC4,123,270,211,192,170,176,155,145,146
1200,Lean,MC4,109,214,165,134,136,119,105,103,103
1201,Lean,MC4,141,258,195,170,161,143,149,158,152
1203,Obese,MC4,295,450,445,403,393,316,219,187,172
1204,Obese,MC4,321,514,528,535,584,463,308,213,185
1205,Obese,MC4,214,352,384,377,359,323,249,235,199
1206,Obese,MC4,188,384,398,423,402,358,236,178,180
1207,Obese,MC4,195,425,370,389,318,231,178,174,160
1208,Obese,MC4,197,359,329,318,291,238,207,193,181
1209,Obese,MC4,194,361,376,336,298,235,199,178,193
1210,Obese,MC4,173,306,229,215,207,181,187,192,177
1211,WC,MC4,340,532,600,600,600,531,489,403,363
1212,WC,MC4,215,274,303,269,282,250,216,185,164
1213,WC,MC4,229,396,503,478,487,476,462,416,311
1214,WC,MC4,194,395,364,360,417,346,357,304,257
1215,WC,MC4,237,475,475,497,534,441,355,324,273
1216,WC,MC4,229,397,423,423,381,338,305,290,263
1217,WC,MC4,153,321,253,236,190,184,156,165,153
1218,WC,MC4,209,438,406,453,426,375,321,308,283
537,Lean,MC2,106,240,170,151,137,114,119,108,96
538,Lean,MC2,124,203,175,162,145,121,112,102,109
539,Lean,MC2,136,195,181,170,160,127,121,106,111
540,Lean,MC2,143,255,195,213,197,157,123,129,136
541,Lean,MC2,104,213,188,195,185,186,,,
542,Lean,MC2,81,198,153,117,128,107,101,105,94
543,Lean,MC2,137,274,266,257,247,212,192,164,154
544,Lean,MC2,,,,,,,,,
545,Lean,MC2,86,183,204,147,117,100,100,94,103
546,Lean,MC2,100,309,229,214,197,161,132,135,128
547,Lean,MC2,132,266,218,203,179,173,162,143,143
548,Lean,MC2,72,214,142,115,105,99,101,96,99
549,Obese,MC2,147,366,303,280,256,219,182,160,152
550,Obese,MC2,140,302,321,340,281,249,182,153,126
551,Obese,MC2,148,283,260,224,199,169,160,148,134
552,Obese,MC2,156,298,353,354,288,229,176,156,130
553,Obese,MC2,111,220,180,177,154,135,117,99,111
554,Obese,MC2,228,365,428,460,451,350,259,233,209
555,Obese,MC2,250,361,406,454,474,359,299,236,188
556,Obese,MC2,204,313,298,276,246,179,11,154,117
557,Obese,MC2,137,274,278,245,253,180,159,153,171
558,Obese,MC2,144,287,314,265,254,173,156,153,150
559,Obese,MC2,178,293,320,263,240,176,143,140,120
560,Obese,MC2,122,284,264,227,191,153,141,122,124
561,WC,MC2,239,380,356,488,512,445,389,335,240
562,WC,MC2,241,351,475,541,497,410,307,253,172
563,WC,MC2,237,360,427,472,475,398,408,341,291
564,WC,MC2,197,326,378,368,377,311,266,226,166
565,WC,MC2,153,256,398,402,453,350,286,245,205
566,WC,MC2,247,315,292,300,269,246,182,152,172
567,WC,MC2,235,428,548,543,598,594,463,365,308
568,WC,MC2,187,235,276,286,249,212,207,180,144
569,WC,MC2,221,338,295,417,459,390,311,283,258
570,WC,MC2,179,273,252,241,225,184,145,152,158
571,WC,MC2,226,378,463,464,454,381,322,244,224
572,WC,MC2,230,332,329,333,289,229,207,210,161
1375,Lean,MC18,142,272,248,213,203,149,152,156,
1376,Lean,MC18,116,190,141,136,121,130,104,102,
1377,Lean,MC18,176,252,297,275,244,235,184,166,
1378,Lean,MC18,113,160,155,138,127,117,114,122,
1379,Lean,MC18,138,292,233,215,192,173,148,165,
1380,Lean,MC18,159,252,230,202,203,180,166,139,
1381,Lean,MC18,135,238,185,200,172,158,130,134,
1382,Lean,MC18,158,296,187,162,162,163,140,137,
1383,Lean,MC18,176,235,200,210,214,206,181,151,
1384,Lean,MC18,153,223,208,203,167,159,137,114,
1385,Lean,MC18,195,256,252,232,179,180,152,139,
1386,Lean,MC18,170,251,189,160,148,165,121,128,
1387,Obese,MC18,188,336,411,372,353,293,217,198,
1388,Obese,MC18,226,426,414,354,361,292,247,229,
1389,Obese,MC18,221,377,376,339,356,301,249,216,
1390,Obese,MC18,212,344,352,293,313,231,209,189,
1391,Obese,MC18,176,305,258,254,258,182,161,155,
1392,Obese,MC18,174,332,329,327,248,215,195,183,
1393,Obese,MC18,154,328,269,280,206,162,135,142,
1394,Obese,MC18,222,463,418,438,390,405,271,242,
1395,Obese,MC18,180,336,234,240,207,174,157,162,
1396,Obese,MC18,146,284,255,222,190,171,158,138,
1397,Obese,MC18,169,282,193,196,183,167,145,171,
1398,Obese,MC18,171,362,326,286,314,252,187,158,
1399,WC,MC18,195,313,370,369,345,284,223,211,
1400,WC,MC18,243,424,472,471,503,440,404,368,
1401,WC,MC18,199,352,349,318,332,246,225,211,
1402,WC,MC18,209,404,412,394,444,359,337,263,
1403,WC,MC18,214,387,379,400,341,294,232,215,
1404,WC,MC18,150,374,283,261,259,231,153,150,
1405,WC,MC18,179,318,281,311,272,277,196,184,
1406,WC,MC18,230,432,442,463,410,353,284,257,
1407,WC,MC18,255,452,482,462,465,406,334,280,
1408,WC,MC18,182,362,392,376,351,317,281,194,
1409,WC,MC18,185,365,296,268,248,200,200,162,
1410,WC,MC18,210,391,434,451,402,364,288,262,
1411,WL,MC18,124,202,143,128,130,115,104,102,
1412,WL,MC18,121,182,145,130,123,114,125,111,
1413,WL,MC18,81,94,69,139,75,82,62,76,
1414,WL,MC18,132,209,148,122,137,118,114,89,
1415,WL,MC18,153,245,172,159,152,133,146,119,
1416,WL,MC18,143,245,199,170,185,141,111,121,
1417,WL,MC18,129,230,205,175,185,144,131,115,
1418,WL,MC18,111,181,172,125,126,126,97,96,
1419,WL,MC18,67,131,127,119,112,99,85,83,
1420,WL,MC18,87,147,125,121,115,123,119,105,
1421,WL,MC18,91,164,160,148,136,110,97,89,
1422,WL,MC18,131,205,170,172,161,155,111,97,
1836,Lean,MC53,97,190,146,120,118,107,94,87,
1837,Lean,MC53,128,244,181,14,161,145,130,124,
1838,Lean,MC53,143,212,168,148,146,125,119,117,
1839,Lean,MC53,119,190,146,136,128,113,104,108,
1840,Lean,MC53,106,120,141,166,149,134,119,119,
1841,Lean,MC53,150,256,206,188,164,160,150,144,
1842,Lean,MC53,104,203,149,143,126,119,114,111,
