Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
WikiPathways,27,WP163,Cytoplasmic Ribosomal Proteins,,-31,14,21,18969,78,589,35,5.9,0.97,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|66475|66481|66489|67186|67248|67281|67671|67945|68052|68436|75617|78294|110651|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rps23|Rps21|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rps6ka3|Rpl10|Rpl31|Rpl23a|Rpl17,-27,MyList
Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-30,12,20,18969,104,589,38,6.5,1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-30,12,20,18969,105,589,38,6.5,1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-30,11,19,18969,107,589,38,6.5,1,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-30,11,19,18969,107,589,38,6.5,1,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-29,13,20,18969,87,589,35,5.9,0.97,19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-29,12,20,18969,94,589,36,6.1,0.99,13669|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-26,MyList
Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-29,11,19,18969,112,589,38,6.5,1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-25,MyList
Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-29,11,19,18969,112,589,38,6.5,1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-25,MyList
Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-27,13,19,18969,85,589,33,5.6,0.95,19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-24,MyList
