_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,GO:0043558,regulation of translational initiation in response to stress,M1,1,0
1,-2.1,GO:0030183,B cell differentiation,M1,1,0
1,-2.9,GO:0010035,response to inorganic substance,M1,1,0
1,-2,GO:0030516,regulation of axon extension,M1,1,0
1,-6.1,GO:0048511,rhythmic process,M1,1,0
1,-3.8,GO:0006694,steroid biosynthetic process,M1,1,0
1,-2.2,GO:0060840,artery development,M1,1,0
1,-2.2,R-MMU-6803529,FGFR2 alternative splicing,M1,1,0
1,-6.4,GO:0006984,ER-nucleus signaling pathway,M1,1,0
1,-3.2,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-2.6,GO:0030099,myeloid cell differentiation,M1,1,0
1,-2.5,GO:0002237,response to molecule of bacterial origin,M1,1,0
1,-4.4,GO:0022604,regulation of cell morphogenesis,M1,1,0
1,-3.6,GO:0033119,negative regulation of RNA splicing,M1,1,0
1,-5,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-2.2,GO:0070301,cellular response to hydrogen peroxide,M1,1,0
1,-2.7,GO:1900222,negative regulation of amyloid-beta clearance,M1,1,0
1,-4,GO:0060947,cardiac vascular smooth muscle cell differentiation,M1,1,0
1,-4.4,GO:0071478,cellular response to radiation,M1,1,0
1,-3.1,GO:1901223,negative regulation of NIK/NF-kappaB signaling,M1,1,0
1,-3.1,GO:0007409,axonogenesis,M1,1,0
1,-2.8,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-3.8,GO:0033674,positive regulation of kinase activity,M1,1,0
1,-3.2,GO:0001659,temperature homeostasis,M1,1,0
1,-2.3,R-MMU-5654738,Signaling by FGFR2,M1,1,0
1,-30,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M1,1,0
1,-2.3,GO:0042063,gliogenesis,M1,1,0
1,-3,R-MMU-194138,Signaling by VEGF,M1,1,0
1,-21,GO:0043604,amide biosynthetic process,M1,1,0
1,-2.2,GO:0050670,regulation of lymphocyte proliferation,M1,1,0
1,-22,GO:0006412,translation,M1,1,0
1,-2.7,GO:0031669,cellular response to nutrient levels,M1,1,0
1,-2.9,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-3.5,GO:0061316,canonical Wnt signaling pathway involved in heart development,M1,1,0
1,-4.2,GO:0031204,"posttranslational protein targeting to membrane, translocation",M1,1,0
1,-2.6,GO:0032612,interleukin-1 production,M1,1,0
1,-2.3,GO:0003007,heart morphogenesis,M1,1,0
1,-4.6,GO:1901617,organic hydroxy compound biosynthetic process,M1,1,0
1,-5.6,GO:0030162,regulation of proteolysis,M1,1,0
1,-2.9,GO:0006066,alcohol metabolic process,M1,1,0
1,-6.2,R-MMU-163210,Formation of ATP by chemiosmotic coupling,M1,1,0
1,-2.8,GO:0016051,carbohydrate biosynthetic process,M1,1,0
1,-7.3,WP310,mRNA processing,M1,1,0
1,-4.2,GO:0008631,intrinsic apoptotic signaling pathway in response to oxidative stress,M1,1,0
1,-4.5,GO:1900152,"negative regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",M1,1,0
1,-2.9,GO:0007005,mitochondrion organization,M1,1,0
1,-2.4,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-3.5,GO:0016567,protein ubiquitination,M1,1,0
1,-3.2,GO:0061756,leukocyte adhesion to vascular endothelial cell,M1,1,0
1,-2.8,GO:1990845,adaptive thermogenesis,M1,1,0
1,-2.4,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,M1,1,0
1,-4.2,GO:0044270,cellular nitrogen compound catabolic process,M1,1,0
1,-2.8,R-MMU-5675482,Regulation of necroptotic cell death,M1,1,0
1,-2.3,GO:0097084,vascular associated smooth muscle cell development,M1,1,0
1,-2.3,GO:0035733,hepatic stellate cell activation,M1,1,0
1,-2,GO:0051960,regulation of nervous system development,M1,1,0
1,-3.2,GO:0043255,regulation of carbohydrate biosynthetic process,M1,1,0
1,-2.4,GO:0035051,cardiocyte differentiation,M1,1,0
1,-2.2,GO:0051712,positive regulation of killing of cells of other organism,M1,1,0
