_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-31.492062639029026,WP163,M1,1,0,WikiPathways,27,Cytoplasmic Ribosomal Proteins,,-31.492062639029026,14.451155805145618,21.309590046921272,18969,78,589,35,5.942275042444821,0.9741278556004542,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|66475|66481|66489|67186|67248|67281|67671|67945|68052|68436|75617|78294|110651|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rps23|Rps21|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rps6ka3|Rpl10|Rpl31|Rpl23a|Rpl17,-27.210029953423646,0,1,1,1,-31.492062639029026,14.451155805145618,
1,-30.08200443541599,R-MMU-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-30.08200443541599,11.767369727047146,19.71031455646434,18969,104,589,38,6.451612903225806,1.01226601292988,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-26.10100174547459,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-29.899410496670658,R-MMU-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-29.899410496670658,11.655299539170507,19.599233319797047,18969,105,589,38,6.451612903225806,1.01226601292988,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-26.09449906578494,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-29.541121124695163,R-MMU-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-29.541121124695163,11.437443473017787,19.381519361699823,18969,107,589,38,6.451612903225806,1.01226601292988,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-25.958058443425802,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-29.541121124695163,R-MMU-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-29.541121124695163,11.437443473017787,19.381519361699823,18969,107,589,38,6.451612903225806,1.01226601292988,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-25.958058443425802,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-29.460704993891188,R-MMU-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-29.460704993891188,12.956208652889174,20.008972139290407,18969,87,589,35,5.942275042444821,0.9741278556004542,19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-25.956823558669452,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-29.37732728695064,R-MMU-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-29.37732728695064,12.333995592963191,19.719647637501637,18969,94,589,36,6.112054329371817,0.9870539114602674,13669|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-25.940392641359516,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-28.68319302114447,R-MMU-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-28.68319302114447,10.92684331797235,18.8616439447689,18969,112,589,38,6.451612903225806,1.01226601292988,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-25.355402844978414,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-28.68319302114447,R-MMU-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-28.68319302114447,10.92684331797235,18.8616439447689,18969,112,589,38,6.451612903225806,1.01226601292988,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-25.355402844978414,0,1,0,0,-31.492062639029026,14.451155805145618,
1,-27.19514199957657,R-MMU-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-27.19514199957657,12.503285728552882,19.027425870581187,18969,85,589,33,5.602716468590832,0.9475920828983251,19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-23.91310931397119,0,1,0,0,-31.492062639029026,14.451155805145618,
