Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,WikiPathways,27,WP163,Cytoplasmic Ribosomal Proteins,,-33,16,23,18969,78,527,35,6.6,1.1,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|66475|66481|66489|67186|67248|67281|67671|67945|68052|68436|75617|78294|110651|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rps23|Rps21|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rps6ka3|Rpl10|Rpl31|Rpl23a|Rpl17,-29
MyList,Reactome Gene Sets,6,R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,,-32,13,21,18969,104,527,38,7.2,1.1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,,-32,13,21,18969,105,527,38,7.2,1.1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-31,13,21,18969,107,527,38,7.2,1.1,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-927802,Nonsense-Mediated Decay (NMD),,-31,13,21,18969,107,527,38,7.2,1.1,19052|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|60365|65019|66441|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Ppp2ca|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-31,14,21,18969,87,527,35,6.6,1.1,19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|225363|268449,Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Etf1|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-72689,Formation of a pool of free 40S subunits,,-31,14,21,18969,94,527,36,6.8,1.1,13669|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-28
MyList,Reactome Gene Sets,6,R-MMU-72613,Eukaryotic Translation Initiation,,-30,12,20,18969,112,527,38,7.2,1.1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-27
MyList,Reactome Gene Sets,6,R-MMU-72737,Cap-dependent Translation Initiation,,-30,12,20,18969,112,527,38,7.2,1.1,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67186|67204|67248|67281|67671|67941|68052|68436|75617|78294|78655|110954|114641|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Rpl23a,-27
MyList,Reactome Gene Sets,6,R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,,-29,14,20,18969,85,527,33,6.3,1.1,19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-25
MyList,KEGG Pathway,24,mmu03010,Ribosome,,-27,10,18,18969,129,527,37,7,1.1,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|67945|68052|68436|75617|78294|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a|Rpl17,-23
MyList,KEGG Pathway,24,ko03010,Ribosome,,-27,10,18,18969,129,527,37,7,1.1,19933|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|54127|54217|56040|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|67945|68052|68436|75617|78294|110954|114641|268449|319195,Rpl21|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Rps28|Rpl36|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a|Rpl17,-23
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,,-26,4.3,14,18969,598,527,72,14,1.5,11652|12317|13664|13669|13681|13690|14629|16193|16210|16549|17165|18550|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|78294|102436|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Gclc|Il6|Impact|Khsrp|Mapkapk5|Furin|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Rps27a|Lars2|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-22
MyList,GO Biological Processes,19,GO:0006412,translation,,-25,4.4,14,18969,574,527,70,13,1.5,11652|12317|13664|13669|13681|13690|16193|16210|16549|17165|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|78294|102436|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Il6|Impact|Khsrp|Mapkapk5|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Rps27a|Lars2|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-22
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,,-24,3.9,13,18969,710,527,76,14,1.5,11652|11846|12317|13664|13669|13681|13690|14629|16193|16210|16549|17165|18550|18626|19204|19704|19877|19933|19934|19946|19981|20005|20054|20068|20088|20090|20116|20918|21453|21825|22057|22321|23879|24015|26451|27370|27979|54127|54217|56040|56336|56403|57808|65019|66475|66481|66489|67160|67186|67204|67248|67281|67671|67941|67945|68052|68184|68836|73158|74442|78294|102436|104112|108954|110954|114641|207214|211064|217980|225363|230738|231659|268449|319195|100037258|100038991,Akt2|Arg1|Calr|Eif1a|Eif3a|Eif4a1|Eif4g2|Gclc|Il6|Impact|Khsrp|Mapkapk5|Furin|Per1|Ptafr|Upf1|Rock1|Rpl21|Rpl22|Rpl30|Rpl37a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Eif1|Tcof1|Thbs1|Tob1|Vars|Fxr2|Abce1|Rpl27a|Rps26|Eif3b|Rps28|Rpl36|Rplp1|B4galt5|Syncrip|Rpl35a|Rpl23|Rps23|Rps21|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Rps27l|Rpl41|Rps13|Denr|Mrpl52|Larp1|Sgms2|Rps27a|Lars2|Acly|Ppp1r15b|Rpl10|Rpl31|Larp4|Alkbh1|Larp4b|Etf1|Zc3h12a|Gcn1|Rpl23a|Rpl17|Dnajc3|Gm2000,-21
MyList,Reactome Gene Sets,6,R-MMU-72766,Translation,,-23,7,15,18969,217,527,42,8,1.2,13669|13681|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|27979|54127|56040|57808|65019|66475|66481|66483|66489|67160|67186|67204|67248|67281|67671|67895|67941|68052|68436|68836|75617|78294|78655|110954|114641|225363|268449,Eif3a|Eif4a1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Eif3b|Rps28|Rplp1|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Eef1g|Rplp2|Eif2s2|Rpl39|Rpl37|Rpl38|Ppa1|Rps27l|Rps13|Rpl34|Mrpl52|Rps25|Rps27a|Eif3j1|Rpl10|Rpl31|Etf1|Rpl23a,-20
MyList,Reactome Gene Sets,6,R-MMU-8953854,Metabolism of RNA,,-23,4.3,13,18969,545,527,65,12,1.4,13681|14113|15381|16549|17164|17749|18521|19052|19172|19704|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|21681|26451|27370|30877|54127|56040|56086|56200|57808|59013|60365|65019|66441|66475|66481|66483|66489|66491|67186|67248|67281|67671|67941|67996|68011|68052|68436|69878|70640|75617|76936|77134|78294|101943|108014|110954|114641|214290|225363|228410|229279|234699|268449|621823,Eif4a1|Fbl|Hnrnpc|Khsrp|Mapkapk2|Polr2k|Pcbp2|Ppp2ca|Psmb4|Upf1|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Alyref|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Set|Ddx21|Rpl35a|Hnrnph1|Rbm8a|Rpl23|Magohb|Rps23|Rps21|Rpl36al|Rpl35|Polr2l|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Srsf6|Snrpg|Rps13|Rpl34|Snrpf|Dcp2|Rps25|Hnrnpm|Hnrnpa0|Rps27a|Sf3b3|Srsf9|Rpl10|Rpl31|Tut7|Etf1|Cstf3|Hnrnpa3|Edc4|Rpl23a|Psme2b,-20
MyList,Reactome Gene Sets,6,R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,,-21,7.7,15,18969,168,527,36,6.8,1.1,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-18
MyList,Reactome Gene Sets,6,R-MMU-8868773,rRNA processing in the nucleus and cytosol,,-21,7.7,15,18969,168,527,36,6.8,1.1,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-18
MyList,Reactome Gene Sets,6,R-MMU-72312,rRNA processing,,-21,7.7,15,18969,168,527,36,6.8,1.1,14113|19934|19942|19946|19981|19982|20005|20054|20068|20088|20090|20116|26451|27370|30877|54127|56040|56200|57808|65019|66475|66481|66483|66489|67186|67248|67281|67671|67941|68052|68436|75617|78294|110954|114641|268449,Fbl|Rpl22|Rpl27|Rpl30|Rpl37a|Rpl36a|Rpl9|Rps15|Rps17|Rps24|Rps29|Rps8|Rpl27a|Rps26|Gnl3|Rps28|Rplp1|Ddx21|Rpl35a|Rpl23|Rps23|Rps21|Rpl36al|Rpl35|Rplp2|Rpl39|Rpl37|Rpl38|Rps27l|Rps13|Rpl34|Rps25|Rps27a|Rpl10|Rpl31|Rpl23a,-18
MyList,KEGG Pathway,24,mmu00190,Oxidative phosphorylation,,-15,7.2,12,18969,135,527,27,5.1,0.96,11951|11957|11958|12856|12864|12866|12867|17705|17719|17721|17991|19225|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|67895|68198|230075,Atp5g1|Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|Cox7c|ATP6|ND4|ND5|Ndufa2|Ptgs2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ppa1|Ndufb2|Ndufb6,-12
MyList,WikiPathways,27,WP295,Electron Transport Chain,,-15,8.5,13,18969,97,527,23,4.4,0.89,11957|11958|12856|12864|12866|17705|17719|17721|17991|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|68198|230075,Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|ATP6|ND4|ND5|Ndufa2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ndufb2|Ndufb6,-12
MyList,KEGG Pathway,24,ko00190,Oxidative phosphorylation,,-15,7.1,12,18969,131,527,26,4.9,0.94,11951|11957|11958|12856|12864|12866|12867|17705|17719|17721|17991|22272|27425|54405|57423|66091|66142|66152|66377|66576|66594|67126|67530|67895|68198|230075,Atp5g1|Atp5j|Atp5k|Cox17|Cox6c|Cox7a2|Cox7c|ATP6|ND4|ND5|Ndufa2|Uqcrq|Atp5l|Ndufa1|Atp5j2|Ndufa3|Cox7b|Uqcr10|Ndufc1|Uqcrh|Uqcr11|Atp5e|Uqcrb|Ppa1|Ndufb2|Ndufb6,-12
MyList,Reactome Gene Sets,6,R-MMU-72649,Translation initiation complex formation,,-14,11,13,18969,57,527,18,3.4,0.79,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-11
MyList,Reactome Gene Sets,6,R-MMU-72702,Ribosomal scanning and start codon recognition,,-14,11,13,18969,57,527,18,3.4,0.79,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-11
MyList,Reactome Gene Sets,6,R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",,-14,12,13,18969,50,527,17,3.2,0.77,13669|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-11
MyList,Reactome Gene Sets,6,R-MMU-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",,-14,11,13,18969,58,527,18,3.4,0.79,13669|13681|20054|20068|20088|20090|20116|27370|27979|54127|66475|66481|67204|67941|68052|75617|78294|78655,Eif3a|Eif4a1|Rps15|Rps17|Rps24|Rps29|Rps8|Rps26|Eif3b|Rps28|Rps23|Rps21|Eif2s2|Rps27l|Rps13|Rps25|Rps27a|Eif3j1,-11
