Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
17210,3.0,1,1,1
210106,3.0,1,1,1
20539,3.0,1,1,1
68184,3.0,1,1,1
20090,3.0,1,1,1
11911,3.0,1,1,1
20293,3.0,1,1,1
67040,3.0,1,1,1
77134,3.0,1,1,1
18521,3.0,1,1,1
12611,3.0,1,1,1
228410,3.0,1,1,1
217069,3.0,1,1,1
16478,3.0,1,1,1
21682,3.0,1,1,1
20354,3.0,1,1,1
12575,3.0,1,1,1
76687,3.0,1,1,1
19172,3.0,1,1,1
12226,3.0,1,1,1
54483,3.0,1,1,1
319162,3.0,1,1,1
384783,3.0,1,1,1
14586,3.0,1,1,1
20439,3.0,1,1,1
93759,3.0,1,1,1
21929,3.0,1,1,1
20296,3.0,1,1,1
407243,3.0,1,1,1
13542,3.0,1,1,1
74148,3.0,1,1,1
24136,3.0,1,1,1
67181,3.0,1,1,1
70093,3.0,1,1,1
66234,3.0,1,1,1
319195,3.0,1,1,1
12317,3.0,1,1,1
18793,3.0,1,1,1
110651,3.0,1,1,1
67006,3.0,1,1,1
20306,3.0,1,1,1
13121,3.0,1,1,1
13664,3.0,1,1,1
13669,3.0,1,1,1
17749,3.0,1,1,1
22339,3.0,1,1,1
54473,3.0,1,1,1
17748,3.0,1,1,1
109700,3.0,1,1,1
68198,3.0,1,1,1
11702,3.0,1,1,1
66915,3.0,1,1,1
67952,3.0,1,1,1
268470,3.0,1,1,1
18102,3.0,1,1,1
75617,3.0,1,1,1
83602,3.0,1,1,1
18037,3.0,1,1,1
12505,3.0,1,1,1
67160,3.0,1,1,1
15277,3.0,1,1,1
12333,3.0,1,1,1
16848,3.0,1,1,1
66142,3.0,1,1,1
20655,3.0,1,1,1
11927,3.0,1,1,1
70827,3.0,1,1,1
233489,3.0,1,1,1
68011,3.0,1,1,1
22411,3.0,1,1,1
11957,3.0,1,1,1
20481,3.0,1,1,1
20788,3.0,1,1,1
54127,3.0,1,1,1
12983,3.0,1,1,1
213990,3.0,1,1,1
13167,3.0,1,1,1
13660,3.0,1,1,1
78294,3.0,1,1,1
12867,3.0,1,1,1
76936,3.0,1,1,1
67248,3.0,1,1,1
22782,3.0,1,1,1
56040,3.0,1,1,1
19303,3.0,1,1,1
13822,3.0,1,1,1
74126,3.0,1,1,1
68436,3.0,1,1,1
108013,3.0,1,1,1
11846,3.0,1,1,1
52036,3.0,1,1,1
66491,3.0,1,1,1
50493,3.0,1,1,1
19934,3.0,1,1,1
20054,3.0,1,1,1
67945,3.0,1,1,1
20397,3.0,1,1,1
20775,3.0,1,1,1
13445,3.0,1,1,1
16878,3.0,1,1,1
20288,3.0,1,1,1
12363,3.0,1,1,1
15357,3.0,1,1,1
16210,3.0,1,1,1
14629,3.0,1,1,1
73158,3.0,1,1,1
52014,3.0,1,1,1
17164,3.0,1,1,1
21825,3.0,1,1,1
14254,3.0,1,1,1
107746,3.0,1,1,1
17474,3.0,1,1,1
109815,3.0,1,1,1
19704,3.0,1,1,1
20250,3.0,1,1,1
230857,3.0,1,1,1
100037258,3.0,1,1,1
75788,3.0,1,1,1
24075,3.0,1,1,1
108911,3.0,1,1,1
20963,3.0,1,1,1
12125,3.0,1,1,1
67204,3.0,1,1,1
12864,3.0,1,1,1
66169,3.0,1,1,1
57423,3.0,1,1,1
27049,3.0,1,1,1
224105,3.0,1,1,1
13654,3.0,1,1,1
67784,3.0,1,1,1
14718,3.0,1,1,1
74754,3.0,1,1,1
16452,3.0,1,1,1
19052,3.0,1,1,1
12519,3.0,1,1,1
18128,3.0,1,1,1
21399,3.0,1,1,1
66481,3.0,1,1,1
19942,3.0,1,1,1
140740,3.0,1,1,1
18227,3.0,1,1,1
231659,3.0,1,1,1
20351,3.0,1,1,1
27368,3.0,1,1,1
16190,3.0,1,1,1
16658,3.0,1,1,1
56200,3.0,1,1,1
59013,3.0,1,1,1
192193,3.0,1,1,1
27979,3.0,1,1,1
20807,3.0,1,1,1
70640,3.0,1,1,1
110954,3.0,1,1,1
21817,3.0,1,1,1
11501,3.0,1,1,1
16468,3.0,1,1,1
22042,3.0,1,1,1
74427,3.0,1,1,1
22289,3.0,1,1,1
66942,3.0,1,1,1
17991,3.0,1,1,1
216799,3.0,1,1,1
