_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-9.99150496509325,R-MMU-6798695,M1,1,0,Reactome Gene Sets,6,Neutrophil degranulation,,-9.99150496509325,3.4685714285714284,8.135969380727733,20638,510,420,36,8.571428571428571,1.3659755535250213,11848|12273|12331|12359|12798|13010|13629|14569|14751|15212|15369|16423|16993|17064|17159|19025|19170|19353|20719|21648|27261|27357|56212|71665|72042|100561|109754|109905|110006|110095|113868|217303|227753|245828|381484|433375,Rhoa|C5ar1|Cap1|Cat|Cnn2|Cst3|Eef2|Gdi2|Gpi1|Hexb|Hmox2|Cd47|Lta4h|Cd93|Man2b1|Ctsa|Psmb1|Rac1|Serpinb6a|Dynlt1b|Dok3|Gyg|Rhog|Fuca1|Cotl1|Slc15a4|Cyb5r3|Rap1a|Gusb|Pygl|Acaa1a|Cd300a|Gsn|Trappc1|Gm5150|Creg1,-5.70947227948787,0,1,1,1,-9.99150496509325,3.4685714285714284,
1,-9.52104324922663,R-MMU-8978868,M1,1,0,Reactome Gene Sets,6,Fatty acid metabolism,,-9.52104324922663,5.780952380952381,9.021526014519681,20638,170,420,20,4.761904761904762,1.0391328106475826,11409|14775|14979|15107|15488|16922|16993|19063|20524|23986|26897|52538|57279|106529|113868|171210|269823|319446|330260|625249,Acads|Gpx1|H2-Ke6|Hadh|Hsd17b4|Phyh|Lta4h|Ppt1|Slc25a17|Eci2|Acot1|Acaa2|Slc25a20|Tecr|Acaa1a|Acot2|Pon3|Dpep2|Pon2|Gpx4,-5.540040559285229,0,2,1,1,-9.52104324922663,12.28452380952381,
1,-9.117826838608863,GO:0044242,M1,1,0,GO Biological Processes,19,cellular lipid catabolic process,,-9.117826838608863,4.958890345128878,8.469400725267471,20638,218,420,22,5.238095238095238,1.0871236426878388,11409|14187|14705|15107|15212|15488|16922|17939|20280|20524|23986|27226|52538|57319|57357|66841|66853|74182|76192|113868|171210|231871,Acads|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Smpdl3a|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2|Daglb,-5.312915407723144,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-8.335720411655213,GO:0016042,M1,1,0,GO Biological Processes,19,lipid catabolic process,,-8.335720411655213,3.8714862914862915,7.578948762842534,20638,330,420,26,6.190476190476191,1.1758741668007866,11409|11816|14187|14705|15107|15212|15488|16922|17939|19063|20280|20524|22629|23986|27226|52538|57319|57357|66841|66853|74182|76192|113868|171210|231871|394432,Acads|Apoe|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Ppt1|Scp2|Slc25a17|Ywhah|Eci2|Pla2g7|Acaa2|Smpdl3a|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2|Daglb|Ugt1a7c,-4.655747717377794,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-7.227354056327327,R-MMU-556833,M1,1,0,Reactome Gene Sets,6,Metabolism of lipids,,-7.227354056327327,2.8268954959310286,6.494737182532205,20638,591,420,34,8.095238095238095,1.3309421382947524,11409|11677|14187|14775|14979|15107|15212|15446|15488|16922|16993|19025|19063|20524|20773|23986|26897|52538|57279|57357|66853|69769|104725|106529|109151|113868|171210|219024|228983|269823|271457|319446|330260|625249,Acads|Akr1b3|Akr1b8|Gpx1|H2-Ke6|Hadh|Hexb|Hpgd|Hsd17b4|Phyh|Lta4h|Ctsa|Ppt1|Slc25a17|Sptlc2|Eci2|Acot1|Acaa2|Slc25a20|Srd5a3|Pnpla2|Tnfaip8l2|Sptssa|Tecr|Chd9|Acaa1a|Acot2|Pip4p1|Osbpl2|Pon3|Rab5a|Dpep2|Pon2|Gpx4,-3.6442913750579646,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-6.190151366354367,GO:0044282,M1,1,0,GO Biological Processes,19,small molecule catabolic process,,-6.190151366354367,3.4102148114766417,6.23292175997282,20638,317,420,22,5.238095238095238,1.0871236426878388,11409|11816|12039|14187|14635|14751|15107|15488|16922|20280|20524|23986|52538|57320|57357|66841|76952|105446|113868|171210|213484|269823,Acads|Apoe|Bckdha|Akr1b8|Galk1|Gpi1|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Park7|Srd5a3|Etfdh|Nt5c2|Gmpr2|Acaa1a|Acot2|Nudt18|Pon3,-2.8623611901883104,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-6.026792758144179,GO:0032787,M1,1,0,GO Biological Processes,19,monocarboxylic acid metabolic process,,-6.026792758144179,2.599039748130657,5.7536412897601705,20638,605,420,32,7.619047619047619,1.2945442986437596,11409|13806|13808|14635|14751|14775|14979|15107|15446|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|57320|66841|72674|106529|113868|171210|231871|269823|394432|433182|625249,Acads|Eno1|Eno3|Galk1|Gpi1|Gpx1|H2-Ke6|Hadh|Hpgd|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Park7|Etfdh|Adipor1|Tecr|Acaa1a|Acot2|Daglb|Pon3|Ugt1a7c|Eno1b|Gpx4,-2.744760072538798,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-5.356091646844705,GO:0034440,M1,1,0,GO Biological Processes,19,lipid oxidation,,-5.356091646844705,5.083251231527093,6.3562955996584645,20638,116,420,12,2.857142857142857,0.8129180542198453,11409|15107|15488|16922|20280|20524|23986|27226|52538|66841|72674|113868,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Etfdh|Adipor1|Acaa1a,-2.26636089848561,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-5.353224136839035,GO:0006631,M1,1,0,GO Biological Processes,19,fatty acid metabolic process,,-5.353224136839035,2.862413314840499,5.5036208288092086,20638,412,420,24,5.714285714285714,1.1326070959601313,11409|14775|14979|15107|15446|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|66841|72674|106529|113868|171210|231871|625249,Acads|Gpx1|H2-Ke6|Hadh|Hpgd|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Etfdh|Adipor1|Tecr|Acaa1a|Acot2|Daglb|Gpx4,-2.26636089848561,0,2,0,0,-9.52104324922663,12.28452380952381,
1,-5.346428039285024,GO:0009062,M1,1,0,GO Biological Processes,19,fatty acid catabolic process,,-5.346428039285024,5.572361315660285,6.505706234167976,20638,97,420,11,2.619047619047619,0.7792630087734651,11409|15107|15488|16922|20280|20524|23986|52538|66841|113868|171210,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a|Acot2,-2.26636089848561,0,2,0,0,-9.52104324922663,12.28452380952381,
