Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-13,4.5,10,20638,510,322,36,11,1.8,11848|12273|12331|12359|12798|13010|13629|14569|14751|15212|15369|16423|16993|17064|17159|19025|19170|19353|20719|21648|27261|27357|56212|71665|72042|100561|109754|109905|110006|110095|113868|217303|227753|245828|381484|433375,Rhoa|C5ar1|Cap1|Cat|Cnn2|Cst3|Eef2|Gdi2|Gpi1|Hexb|Hmox2|Cd47|Lta4h|Cd93|Man2b1|Ctsa|Psmb1|Rac1|Serpinb6a|Dynlt1b|Dok3|Gyg|Rhog|Fuca1|Cotl1|Slc15a4|Cyb5r3|Rap1a|Gusb|Pygl|Acaa1a|Cd300a|Gsn|Trappc1|Gm5150|Creg1,-9.7
MyList,GO Biological Processes,19,GO:0044242,cellular lipid catabolic process,,-9.6,5.9,9.1,20638,218,322,20,6.2,1.3,11409|14187|14705|15107|15212|15488|16922|17939|20280|20524|23986|27226|52538|57357|66841|66853|74182|76192|113868|171210,Acads|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2,-6.6
MyList,GO Biological Processes,19,GO:0016042,lipid catabolic process,,-9.3,4.7,8.4,20638,330,322,24,7.5,1.5,11409|11816|14187|14705|15107|15212|15488|16922|17939|19063|20280|20524|22629|23986|27226|52538|57357|66841|66853|74182|76192|113868|171210|394432,Acads|Apoe|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Ppt1|Scp2|Slc25a17|Ywhah|Eci2|Pla2g7|Acaa2|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2|Ugt1a7c,-6.4
MyList,Reactome Gene Sets,6,R-MMU-8978868,Fatty acid metabolism,,-8.8,6.4,8.9,20638,170,322,17,5.3,1.2,11409|14775|14979|15107|15488|16922|16993|19063|20524|23986|26897|52538|106529|113868|171210|330260|625249,Acads|Gpx1|H2-Ke6|Hadh|Hsd17b4|Phyh|Lta4h|Ppt1|Slc25a17|Eci2|Acot1|Acaa2|Tecr|Acaa1a|Acot2|Pon2|Gpx4,-6
MyList,GO Biological Processes,19,GO:0044282,small molecule catabolic process,,-7.5,4.2,7.3,20638,317,322,21,6.5,1.4,11409|11816|12039|14187|14635|14751|15107|15488|16922|20280|20524|23986|52538|57320|57357|66841|76952|105446|113868|171210|213484,Acads|Apoe|Bckdha|Akr1b8|Galk1|Gpi1|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Park7|Srd5a3|Etfdh|Nt5c2|Gmpr2|Acaa1a|Acot2|Nudt18,-5
MyList,Reactome Gene Sets,6,R-MMU-556833,Metabolism of lipids,,-6.7,3,6.3,20638,591,322,28,8.7,1.6,11409|11677|14187|14775|14979|15107|15212|15488|16922|16993|19025|19063|20524|20773|23986|26897|52538|57357|66853|69769|104725|106529|109151|113868|171210|271457|330260|625249,Acads|Akr1b3|Akr1b8|Gpx1|H2-Ke6|Hadh|Hexb|Hsd17b4|Phyh|Lta4h|Ctsa|Ppt1|Slc25a17|Sptlc2|Eci2|Acot1|Acaa2|Srd5a3|Pnpla2|Tnfaip8l2|Sptssa|Tecr|Chd9|Acaa1a|Acot2|Rab5a|Pon2|Gpx4,-4.3
MyList,Reactome Gene Sets,6,R-MMU-76002,"Platelet activation, signaling and aggregation",,-6.5,4.5,6.9,20638,242,322,17,5.3,1.2,11465|11848|14693|14710|19353|19354|20363|20692|54519|56212|67059|68117|72017|76192|108101|109905|216869,Actg1|Rhoa|Gnb2|Gngt2|Rac1|Rac2|Selenop|Sparc|Apbb1ip|Rhog|Ola1|Apool|Cyb5r1|Abhd12|Fermt3|Rap1a|Arrb2,-4.2
MyList,GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,,-6.5,3,6.2,20638,605,322,28,8.7,1.6,11409|13806|13808|14635|14751|14775|14979|15107|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|57320|66841|106529|113868|171210|394432|433182|625249,Acads|Eno1|Eno3|Galk1|Gpi1|Gpx1|H2-Ke6|Hadh|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Park7|Etfdh|Tecr|Acaa1a|Acot2|Ugt1a7c|Eno1b|Gpx4,-4.2
MyList,GO Biological Processes,19,GO:0009062,fatty acid catabolic process,,-6.5,7.3,7.8,20638,97,322,11,3.4,1,11409|15107|15488|16922|20280|20524|23986|52538|66841|113868|171210,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a|Acot2,-4.2
MyList,Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-6.3,3.2,6.2,20638,507,322,25,7.8,1.5,11465|11848|12345|12506|14693|14710|16423|19353|19354|20363|20692|20719|22151|54519|56212|56248|67059|68117|72017|76192|108101|109905|216869|271457|381484,Actg1|Rhoa|Capzb|Cd48|Gnb2|Gngt2|Cd47|Rac1|Rac2|Selenop|Sparc|Serpinb6a|Tubb2a|Apbb1ip|Rhog|Ak3|Ola1|Apool|Cyb5r1|Abhd12|Fermt3|Rap1a|Arrb2|Rab5a|Gm5150,-4.1
MyList,GO Biological Processes,19,GO:1901657,glycosyl compound metabolic process,,-6.2,6.8,7.4,20638,104,322,11,3.4,1,11677|11848|14187|17939|27369|56248|71665|76952|105446|110006|213484,Akr1b3|Rhoa|Akr1b8|Naga|Dguok|Ak3|Fuca1|Nt5c2|Gmpr2|Gusb|Nudt18,-3.9
MyList,GO Biological Processes,19,GO:1902743,regulation of lamellipodium organization,,-6.2,11,8.5,20638,48,322,8,2.5,0.87,12345|19353|19354|23789|23999|57784|76709|242687,Capzb|Rac1|Rac2|Coro1b|Twf2|Bin3|Arpc2|Wasf2,-3.9
MyList,Reactome Gene Sets,6,R-MMU-5653656,Vesicle-mediated transport,,-6,2.9,5.9,20638,567,322,26,8.1,1.5,11465|11555|11816|12345|12492|13854|14569|19326|20692|22151|56443|59288|66147|66700|67443|68137|68942|69178|69654|76308|76709|76959|108012|216869|245828|271457,Actg1|Adrb2|Apoe|Capzb|Scarb2|Epn1|Gdi2|Rab11b|Sparc|Tubb2a|Arpc1a|Dctn5|Necap2|Chmp3|Map1lc3b|Kdelr1|Chmp2b|Snx5|Dctn2|Rab1b|Arpc2|Chmp5|Ap1s2|Arrb2|Trappc1|Rab5a,-3.8
MyList,GO Biological Processes,19,GO:0019693,ribose phosphate metabolic process,,-5.9,3.5,6.1,20638,365,322,20,6.2,1.3,11848|13806|13808|14635|14751|15488|20280|26897|27369|52538|56248|66114|66174|66588|76952|105446|110095|171210|213484|433182,Rhoa|Eno1|Eno3|Galk1|Gpi1|Hsd17b4|Scp2|Acot1|Dguok|Acaa2|Ak3|Dnajc30|Nudt14|Cmpk1|Nt5c2|Gmpr2|Pygl|Acot2|Nudt18|Eno1b,-3.7
MyList,GO Biological Processes,19,GO:0045324,late endosome to vacuole transport,,-5.8,16,9.3,20638,24,322,6,1.9,0.75,66700|68942|71817|76959|230514|234852,Chmp3|Chmp2b|Tmem50a|Chmp5|Leprot|Chmp1a,-3.7
MyList,GO Biological Processes,19,GO:0010591,regulation of lamellipodium assembly,,-5.8,12,8.4,20638,38,322,7,2.2,0.81,12345|19353|19354|23999|57784|76709|242687,Capzb|Rac1|Rac2|Twf2|Bin3|Arpc2|Wasf2,-3.6
MyList,GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,,-5.7,3.2,5.9,20638,442,322,22,6.8,1.4,11816|11848|11853|12345|13494|13854|17698|18826|19165|19353|22121|22218|23789|23999|56443|57320|68943|72042|74192|76709|227753|242687,Apoe|Rhoa|Rhoc|Capzb|Drg1|Epn1|Msn|Lcp1|Psen2|Rac1|Rpl13a|Sumo1|Coro1b|Twf2|Arpc1a|Park7|Pink1|Cotl1|Arpc5l|Arpc2|Gsn|Wasf2,-3.6
MyList,GO Biological Processes,19,GO:0006635,fatty acid beta-oxidation,,-5.7,7.9,7.4,20638,73,322,9,2.8,0.92,11409|15107|15488|20280|20524|23986|52538|66841|113868,Acads|Hadh|Hsd17b4|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a,-3.6
MyList,GO Biological Processes,19,GO:0034440,lipid oxidation,,-5.7,6.1,6.9,20638,116,322,11,3.4,1,11409|15107|15488|16922|20280|20524|23986|27226|52538|66841|113868,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Etfdh|Acaa1a,-3.6
MyList,GO Biological Processes,19,GO:0072329,monocarboxylic acid catabolic process,,-5.6,6,6.9,20638,117,322,11,3.4,1,11409|15107|15488|16922|20280|20524|23986|52538|66841|113868|171210,Acads|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Etfdh|Acaa1a|Acot2,-3.6
MyList,GO Biological Processes,19,GO:0006631,fatty acid metabolic process,,-5.6,3.3,5.9,20638,412,322,21,6.5,1.4,11409|14775|14979|15107|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|66841|106529|113868|171210|625249,Acads|Gpx1|H2-Ke6|Hadh|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Etfdh|Tecr|Acaa1a|Acot2|Gpx4,-3.5
MyList,KEGG Pathway,24,ko05100,Bacterial invasion of epithelial cells,,-5.6,7.6,7.2,20638,76,322,9,2.8,0.92,11465|11848|16202|19353|56212|56443|74192|76709|242687,Actg1|Rhoa|Ilk|Rac1|Rhog|Arpc1a|Arpc5l|Arpc2|Wasf2,-3.5
MyList,KEGG Pathway,24,ko00062,Fatty acid elongation,,-5.5,14,8.7,20638,27,322,6,1.9,0.75,15107|19063|26897|52538|106529|171210,Hadh|Ppt1|Acot1|Acaa2|Tecr|Acot2,-3.4
MyList,KEGG Pathway,24,mmu00062,Fatty acid elongation,,-5.5,14,8.7,20638,27,322,6,1.9,0.75,15107|19063|26897|52538|106529|171210,Hadh|Ppt1|Acot1|Acaa2|Tecr|Acot2,-3.4
