Cluster,Score,Type,Gene,Symbol,Network
3,4.133333333333333,Clustered,17159,Man2b1,MyList_SUB1
3,4.133333333333333,Seed,433375,Creg1,MyList_SUB1
3,4.133333333333333,Clustered,245828,Trappc1,MyList_SUB1
3,4.133333333333333,Clustered,110006,Gusb,MyList_SUB1
3,4.133333333333333,Clustered,109754,Cyb5r3,MyList_SUB1
3,4.133333333333333,Clustered,11853,Rhoc,MyList_SUB1
3,4.133333333333333,Clustered,56212,Rhog,MyList_SUB1
3,4.133333333333333,Clustered,11848,Rhoa,MyList_SUB1
3,4.133333333333333,Clustered,12331,Cap1,MyList_SUB1
3,4.133333333333333,Clustered,71665,Fuca1,MyList_SUB1
3,4.133333333333333,Clustered,14569,Gdi2,MyList_SUB1
3,4.133333333333333,Clustered,19354,Rac2,MyList_SUB1
3,4.133333333333333,Clustered,19025,Ctsa,MyList_SUB1
3,4.133333333333333,Clustered,15212,Hexb,MyList_SUB1
3,4.133333333333333,Clustered,19353,Rac1,MyList_SUB1
6,3.0,Clustered,15488,Hsd17b4,MyList_SUB1
6,3.0,Clustered,23986,Eci2,MyList_SUB1
6,3.0,Seed,171210,Acot2,MyList_SUB1
6,3.0,Clustered,20280,Scp2,MyList_SUB1
6,3.0,Clustered,12359,Cat,MyList_SUB1
6,3.0,Clustered,51798,Ech1,MyList_SUB1
6,3.0,Clustered,26897,Acot1,MyList_SUB1
2,2.5,Clustered,19326,Rab11b,MyList_SUB1
2,2.5,Clustered,76709,Arpc2,MyList_SUB1
2,2.5,Clustered,17064,Cd93,MyList_SUB1
2,2.5,Clustered,109905,Rap1a,MyList_SUB1
2,2.5,Clustered,11555,Adrb2,MyList_SUB1
2,2.5,Clustered,19744,Rheb,MyList_SUB1
2,2.5,Clustered,13854,Epn1,MyList_SUB1
2,2.5,Clustered,216869,Arrb2,MyList_SUB1
2,2.5,Clustered,271457,Rab5a,MyList_SUB1
2,2.5,Clustered,11857,Arhgdib,MyList_SUB1
2,2.5,Seed,20719,Serpinb6a,MyList_SUB1
2,2.5,Clustered,12273,C5ar1,MyList_SUB1
2,2.5,Clustered,76308,Rab1b,MyList_SUB1
2,2.5,Clustered,381484,Gm5150,MyList_SUB1
2,2.5,Clustered,14272,Fnta,MyList_SUB1
2,2.5,Clustered,12492,Scarb2,MyList_SUB1
2,2.5,Clustered,27261,Dok3,MyList_SUB1
2,2.5,Clustered,66147,Necap2,MyList_SUB1
7,2.0,Clustered,81018,Rnf114,MyList_SUB1
7,2.0,Seed,14794,Spsb2,MyList_SUB1
7,2.0,Clustered,59008,Anapc5,MyList_SUB1
7,2.0,Clustered,12702,Socs3,MyList_SUB1
7,2.0,Clustered,30050,Fbxw2,MyList_SUB1
8,2.0,Clustered,234852,Chmp1a,MyList_SUB1
8,2.0,Clustered,66085,Eif3f,MyList_SUB1
8,2.0,Seed,66700,Chmp3,MyList_SUB1
8,2.0,Clustered,68942,Chmp2b,MyList_SUB1
8,2.0,Clustered,76959,Chmp5,MyList_SUB1
4,1.8461538461538463,Clustered,11677,Akr1b3,MyList_SUB1
4,1.8461538461538463,Clustered,14187,Akr1b8,MyList_SUB1
4,1.8461538461538463,Clustered,625249,Gpx4,MyList_SUB1
4,1.8461538461538463,Clustered,13806,Eno1,MyList_SUB1
4,1.8461538461538463,Clustered,59288,Dctn5,MyList_SUB1
4,1.8461538461538463,Seed,21937,Tnfrsf1a,MyList_SUB1
4,1.8461538461538463,Clustered,12798,Cnn2,MyList_SUB1
4,1.8461538461538463,Clustered,17698,Msn,MyList_SUB1
4,1.8461538461538463,Clustered,433182,Eno1b,MyList_SUB1
4,1.8461538461538463,Clustered,14082,Fadd,MyList_SUB1
4,1.8461538461538463,Clustered,69654,Dctn2,MyList_SUB1
4,1.8461538461538463,Clustered,68137,Kdelr1,MyList_SUB1
4,1.8461538461538463,Clustered,14226,Fkbp1b,MyList_SUB1
1,1.642857142857143,Clustered,13010,Cst3,MyList_SUB1
1,1.642857142857143,Clustered,12696,Cirbp,MyList_SUB1
1,1.642857142857143,Clustered,11816,Apoe,MyList_SUB1
1,1.642857142857143,Clustered,94067,Mrpl43,MyList_SUB1
1,1.642857142857143,Clustered,66853,Pnpla2,MyList_SUB1
1,1.642857142857143,Clustered,66155,Ufc1,MyList_SUB1
1,1.642857142857143,Clustered,16993,Lta4h,MyList_SUB1
