Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
54519,3.0,1,1,1
100561,3.0,1,1,1
226548,3.0,1,1,1
11465,3.0,1,1,1
14281,3.0,1,1,1
64009,3.0,1,1,1
192656,3.0,1,1,1
20930,3.0,1,1,1
69583,3.0,1,1,1
108645,3.0,1,1,1
230514,3.0,1,1,1
66340,3.0,1,1,1
108058,3.0,1,1,1
68942,3.0,1,1,1
109754,3.0,1,1,1
64704,3.0,1,1,1
18777,3.0,1,1,1
14705,3.0,1,1,1
271457,3.0,1,1,1
22629,3.0,1,1,1
108723,3.0,1,1,1
74192,3.0,1,1,1
12336,3.0,1,1,1
17698,3.0,1,1,1
20773,3.0,1,1,1
171210,3.0,1,1,1
12039,3.0,1,1,1
56248,3.0,1,1,1
12492,3.0,1,1,1
19165,3.0,1,1,1
20111,3.0,1,1,1
17000,3.0,1,1,1
140742,3.0,1,1,1
66700,3.0,1,1,1
76281,3.0,1,1,1
19354,3.0,1,1,1
234852,3.0,1,1,1
170744,3.0,1,1,1
71665,3.0,1,1,1
21351,3.0,1,1,1
57784,3.0,1,1,1
66155,3.0,1,1,1
26897,3.0,1,1,1
56212,3.0,1,1,1
76709,3.0,1,1,1
72017,3.0,1,1,1
76959,3.0,1,1,1
67443,3.0,1,1,1
69089,3.0,1,1,1
110095,3.0,1,1,1
217303,3.0,1,1,1
14751,3.0,1,1,1
67819,3.0,1,1,1
12359,3.0,1,1,1
106529,3.0,1,1,1
59288,3.0,1,1,1
18826,3.0,1,1,1
66853,3.0,1,1,1
12702,3.0,1,1,1
66114,3.0,1,1,1
16423,3.0,1,1,1
17159,3.0,1,1,1
330260,3.0,1,1,1
68585,3.0,1,1,1
17846,3.0,1,1,1
20524,3.0,1,1,1
12539,3.0,1,1,1
14635,3.0,1,1,1
12345,3.0,1,1,1
14775,3.0,1,1,1
213484,3.0,1,1,1
625249,3.0,1,1,1
68137,3.0,1,1,1
12273,3.0,1,1,1
19326,3.0,1,1,1
20768,3.0,1,1,1
242687,3.0,1,1,1
19141,3.0,1,1,1
332579,3.0,1,1,1
19079,3.0,1,1,1
16170,3.0,1,1,1
68943,3.0,1,1,1
19060,3.0,1,1,1
26457,3.0,1,1,1
66841,3.0,1,1,1
13806,3.0,1,1,1
56752,3.0,1,1,1
16922,3.0,1,1,1
109905,3.0,1,1,1
16643,3.0,1,1,1
74182,3.0,1,1,1
71817,3.0,1,1,1
15979,3.0,1,1,1
54152,3.0,1,1,1
216869,3.0,1,1,1
51798,3.0,1,1,1
22218,3.0,1,1,1
23789,3.0,1,1,1
19170,3.0,1,1,1
66171,3.0,1,1,1
11409,3.0,1,1,1
13808,3.0,1,1,1
20280,3.0,1,1,1
14187,3.0,1,1,1
228875,3.0,1,1,1
