_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-3.4,GO:0035509,negative regulation of myosin-light-chain-phosphatase activity,M1,1,0
1,-2.6,GO:1901888,regulation of cell junction assembly,M1,1,0
1,-2.2,GO:0006376,mRNA splice site selection,M1,1,0
1,-2.2,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-4.9,R-MMU-9013026,RHOB GTPase cycle,M1,1,0
1,-3,GO:0002295,T-helper cell lineage commitment,M1,1,0
1,-2.1,GO:0006929,substrate-dependent cell migration,M1,1,0
1,-2.7,mmu04659,Th17 cell differentiation,M1,1,0
1,-4,GO:0034504,protein localization to nucleus,M1,1,0
1,-2,GO:1901224,positive regulation of NIK/NF-kappaB signaling,M1,1,0
1,-2.2,GO:0045185,maintenance of protein location,M1,1,0
1,-5.6,R-MMU-9013149,RAC1 GTPase cycle,M1,1,0
1,-2.4,GO:0030219,megakaryocyte differentiation,M1,1,0
1,-3.8,mmu05169,Epstein-Barr virus infection,M1,1,0
1,-11,R-MMU-194315,Signaling by Rho GTPases,M1,1,0
1,-2.4,GO:0050863,regulation of T cell activation,M1,1,0
1,-2.1,GO:0045732,positive regulation of protein catabolic process,M1,1,0
1,-5.7,GO:0016569,covalent chromatin modification,M1,1,0
1,-3.5,GO:0007159,leukocyte cell-cell adhesion,M1,1,0
1,-2.9,GO:0048659,smooth muscle cell proliferation,M1,1,0
1,-2.4,GO:0001892,embryonic placenta development,M1,1,0
1,-2.7,GO:2000114,regulation of establishment of cell polarity,M1,1,0
1,-2.2,ko04530,Tight junction,M1,1,0
1,-2.6,GO:0050673,epithelial cell proliferation,M1,1,0
1,-3.9,GO:0033044,regulation of chromosome organization,M1,1,0
1,-2.4,GO:1902117,positive regulation of organelle assembly,M1,1,0
1,-2.9,GO:0016055,Wnt signaling pathway,M1,1,0
1,-4,GO:0061158,3'-UTR-mediated mRNA destabilization,M1,1,0
1,-3.6,GO:0007015,actin filament organization,M1,1,0
1,-3.3,GO:1990778,protein localization to cell periphery,M1,1,0
