_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-12.198411323540192,GO:0061014,M1,1,0,GO Biological Processes,19,positive regulation of mRNA catabolic process,,-12.198411323540192,10.842132913054899,12.138557870188647,20638,54,564,16,2.8368794326241136,0.6990876251999748,11991|12193|13046|19317|19878|74203|80912|213988|228994|229096|230908|231464|233833|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Eif4enif1|Pum1|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cnot6l|Tnrc6a|Cnot1|Ago2|Rc3h1,-7.917127911047226,0,1,1,1,-12.198411323540192,11.867740080506037,
1,-11.252986522681416,GO:0006401,M1,1,0,GO Biological Processes,19,RNA catabolic process,,-11.252986522681416,4.379761220186753,9.174667629928308,20638,259,564,31,5.49645390070922,0.9596785667074658,11991|12193|13046|19317|19878|21938|72587|74203|80912|80913|104625|108077|192160|212943|213988|214597|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|246728|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Sidt2|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Oas2|Rc3h1,-7.531258084661358,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-11.252986522681416,GO:1903311,M1,1,0,GO Biological Processes,19,regulation of mRNA metabolic process,,-11.252986522681416,4.379761220186753,9.174667629928308,20638,259,564,31,5.49645390070922,0.9596785667074658,11991|12193|13046|13548|16969|19317|19878|20637|20658|22083|22668|56758|72289|74203|80912|80913|212943|213988|224902|224903|228994|229096|230257|230908|231464|233033|233833|233908|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Dyrk1a|Zbtb7a|Qk|Rock2|Snrnp70|Son|Ctr9|Sf1|Mbnl1|Malat1|Eif4enif1|Pum1|Pum2|Tent5a|Tnrc6b|Safb2|Safb|Ythdf1|Ythdf3|Ptbp3|Tardbp|Cnot6l|Samd4b|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-7.531258084661358,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-11.210481505826362,GO:0034249,M1,1,0,GO Biological Processes,19,negative regulation of cellular amide metabolic process,,-11.210481505826362,5.413047127449746,9.655604730517664,20638,169,564,25,4.432624113475177,0.8666539703272379,11991|12193|13046|13205|13209|13688|19317|19401|19878|27403|56177|74203|80912|213988|228994|229096|230908|231207|231464|233033|233833|234594|239528|242248|381305,Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Qk|Rara|Rock2|Abca7|Olfm1|Eif4enif1|Pum1|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Samd4b|Tnrc6a|Cnot1|Ago2|Bank1|Rc3h1,-7.531258084661358,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-10.93739273809878,GO:0017148,M1,1,0,GO Biological Processes,19,negative regulation of translation,,-10.93739273809878,5.764524434081414,9.683886417641393,20638,146,564,23,4.078014184397163,0.83280609429463,11991|12193|13046|13205|13209|13688|19317|19401|19878|74203|80912|213988|228994|229096|230908|231207|231464|233033|233833|234594|239528|242248|381305,Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Qk|Rara|Rock2|Eif4enif1|Pum1|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Samd4b|Tnrc6a|Cnot1|Ago2|Bank1|Rc3h1,-7.435632081407201,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-10.838363031054099,GO:0034248,M1,1,0,GO Biological Processes,19,regulation of cellular amide metabolic process,,-10.838363031054099,3.4807213284898806,8.504314462615893,20638,410,564,39,6.914893617021277,1.0683001742738587,11651|11991|12193|13046|13205|13209|13688|16589|17347|19229|19317|19401|19878|20683|27403|56177|73826|74203|80912|80913|104625|192160|211006|213753|213988|228994|229096|230908|231207|231464|232791|233033|233833|234594|239528|242248|328572|381305|606496,Akt1|Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Uhmk1|Mknk2|Ptk2b|Qk|Rara|Rock2|Sp1|Abca7|Olfm1|Poldip3|Eif4enif1|Pum1|Pum2|Cnot6|Casc3|Sepsecs|Zfp598|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Cnot3|Samd4b|Tnrc6a|Cnot1|Ago2|Bank1|Ep300|Rc3h1|Gsk3a,-7.435632081407201,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-10.813825506908223,GO:0006402,M1,1,0,GO Biological Processes,19,mRNA catabolic process,,-10.813825506908223,4.636115657392253,9.109273368475046,20638,221,564,28,4.964539007092198,0.9146243397708185,11991|12193|13046|19317|19878|72587|74203|80912|80913|104625|108077|192160|212943|213988|228994|229096|229512|229663|230908|231464|232791|233033|233789|233833|233908|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-7.435632081407201,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-10.591097195414337,GO:0016071,M1,1,0,GO Biological Processes,19,mRNA metabolic process,,-10.591097195414337,2.827578981302385,7.998673916913419,20638,660,564,51,9.042553191489361,1.2076055897977107,11834|11991|12193|13046|13204|13548|16969|19317|19878|20384|20637|20658|20683|22083|22668|56758|64340|68188|69562|72289|72587|74203|75956|80912|80913|104625|108077|110809|192160|192176|192196|212943|213988|224432|224902|224903|228994|229096|229512|229663|230257|230908|231464|232791|233033|233789|233833|233908|234594|239528|381305,Aqr|Hnrnpd|Zfp36l2|Celf1|Dhx15|Dyrk1a|Zbtb7a|Qk|Rock2|Srsf5|Snrnp70|Son|Sp1|Ctr9|Sf1|Mbnl1|Dhx38|Sympk|Cdk13|Malat1|Pan3|Eif4enif1|Srrm2|Pum1|Pum2|Cnot6|Skiv2l|Srsf1|Casc3|Flna|Luc7l2|Tent5a|Tnrc6b|Scaf4|Safb2|Safb|Ythdf1|Ythdf3|Smg5|Csde1|Ptbp3|Tardbp|Cnot6l|Cnot3|Samd4b|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-7.287474807464969,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-10.346496217360922,GO:0006417,M1,1,0,GO Biological Processes,19,regulation of translation,,-10.346496217360922,3.648794730355014,8.389552991157432,20638,351,564,35,6.205673758865248,1.0158818524287512,11651|11991|12193|13046|13205|13209|13688|16589|17347|19229|19317|19401|19878|73826|74203|80912|80913|104625|192160|211006|213753|213988|228994|229096|230908|231207|231464|232791|233033|233833|234594|239528|242248|328572|381305,Akt1|Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Uhmk1|Mknk2|Ptk2b|Qk|Rara|Rock2|Poldip3|Eif4enif1|Pum1|Pum2|Cnot6|Casc3|Sepsecs|Zfp598|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Cnot3|Samd4b|Tnrc6a|Cnot1|Ago2|Bank1|Ep300|Rc3h1,-7.144394050915581,0,1,0,0,-12.198411323540192,11.867740080506037,
1,-9.813912688935071,GO:0050779,M1,1,0,GO Biological Processes,19,RNA destabilization,,-9.813912688935071,11.867740080506037,11.090262561247053,20638,37,564,12,2.127659574468085,0.6076332153825528,11991|12193|13046|19317|19878|21938|80912|228994|229096|230908|231464|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Tnfrsf1b|Pum1|Ythdf1|Ythdf3|Tardbp|Cnot6l|Rc3h1,-6.646572628748942,0,1,0,0,-12.198411323540192,11.867740080506037,
