Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,GO Biological Processes,19,GO:0061014,positive regulation of mRNA catabolic process,,-14,13,14,20638,54,454,16,3.5,0.87,11991|12193|13046|19317|19878|74203|80912|213988|228994|229096|230908|231464|233833|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Eif4enif1|Pum1|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cnot6l|Tnrc6a|Cnot1|Ago2|Rc3h1,-10
MyList,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,,-13,3.8,9.6,20638,516,454,43,9.5,1.4,11651|12193|12928|13132|13688|14678|16601|16969|17718|18033|18519|18718|18759|19015|19211|19267|19271|19401|19411|19878|20185|20402|20602|20683|20852|22234|50523|54601|75547|83946|104215|106572|110355|192157|224902|224903|231207|232286|234594|328365|328572|381022|606496,Akt1|Zfp36l2|Crk|Dab2|Eif4ebp2|Gnai2|Klf9|Zbtb7a|ND3|Nfkb1|Kat2b|Pip4k2a|Prkci|Ppard|Pten|Ptpre|Ptprj|Rara|Rarg|Rock2|Ncor1|Zfp106|Ncor2|Sp1|Stat6|Ugcg|Lats2|Foxo4|Akap13|Phip|Rhoq|Rab31|Grk2|Socs7|Safb2|Safb|Cpeb2|Tmf1|Cnot1|Zmiz1|Ep300|Kmt2d|Gsk3a,-9.8
MyList,GO Biological Processes,19,GO:0016071,mRNA metabolic process,,-13,3.4,9.3,20638,660,454,49,11,1.5,11834|11991|12193|13046|13204|13548|16969|19317|19878|20384|20637|20658|20683|22083|22668|56758|64340|68188|69562|72587|74203|75956|80912|80913|104625|108077|110809|192160|192176|192196|212943|213988|224432|224902|224903|228994|229096|229512|229663|230257|230908|231464|232791|233789|233833|233908|234594|239528|381305,Aqr|Hnrnpd|Zfp36l2|Celf1|Dhx15|Dyrk1a|Zbtb7a|Qk|Rock2|Srsf5|Snrnp70|Son|Sp1|Ctr9|Sf1|Mbnl1|Dhx38|Sympk|Cdk13|Pan3|Eif4enif1|Srrm2|Pum1|Pum2|Cnot6|Skiv2l|Srsf1|Casc3|Flna|Luc7l2|Tent5a|Tnrc6b|Scaf4|Safb2|Safb|Ythdf1|Ythdf3|Smg5|Csde1|Ptbp3|Tardbp|Cnot6l|Cnot3|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-9.7
MyList,GO Biological Processes,19,GO:0006402,mRNA catabolic process,,-12,5.6,10,20638,221,454,27,5.9,1.1,11991|12193|13046|19317|19878|72587|74203|80912|80913|104625|108077|192160|212943|213988|228994|229096|229512|229663|230908|231464|232791|233789|233833|233908|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Qk|Rock2|Pan3|Eif4enif1|Pum1|Pum2|Cnot6|Skiv2l|Casc3|Tent5a|Tnrc6b|Ythdf1|Ythdf3|Smg5|Csde1|Tardbp|Cnot6l|Cnot3|Smg1|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-9.1
MyList,GO Biological Processes,19,GO:1903311,regulation of mRNA metabolic process,,-12,5.1,9.9,20638,259,454,29,6.4,1.1,11991|12193|13046|13548|16969|19317|19878|20637|20658|22083|22668|56758|74203|80912|80913|212943|213988|224902|224903|228994|229096|230257|230908|231464|233833|233908|234594|239528|381305,Hnrnpd|Zfp36l2|Celf1|Dyrk1a|Zbtb7a|Qk|Rock2|Snrnp70|Son|Ctr9|Sf1|Mbnl1|Eif4enif1|Pum1|Pum2|Tent5a|Tnrc6b|Safb2|Safb|Ythdf1|Ythdf3|Ptbp3|Tardbp|Cnot6l|Tnrc6a|Fus|Cnot1|Ago2|Rc3h1,-9
MyList,Reactome Gene Sets,6,R-MMU-194315,Signaling by Rho GTPases,,-12,3.3,8.9,20638,649,454,47,10,1.4,13058|13367|14269|16801|19046|19053|19878|20663|20742|20868|20874|22284|23943|26403|26554|26931|29875|57294|57778|66713|68524|69581|70719|71302|72754|75547|76626|76707|94176|98386|99982|102098|103573|104215|106504|140579|192176|213498|215280|216965|217866|219140|226652|226849|319171|320795|100043813,Cybb|Diaph1|Fnbp1|Arhgef1|Ppp1cb|Ppp2cb|Rock2|Sos2|Sptbn1|Stk10|Slk|Usp9x|Esyt1|Map3k11|Cul3|Ppp2r5c|Iqgap1|Rps27|Fmnl1|Actr2|Wipf2|Rhou|Arhgap45|Arhgap26|Arhgef10l|Akap13|Msi2|Clasp1|Dock2|Lbr|Kdm1a|Arhgef18|Xpo1|Rhoq|Stk38|Elmo2|Flna|Arhgef11|Wipf1|Taok1|Cdc42bpb|Spata13|Arhgap30|Ppp2r5a|H2ac24|Pkn1|Rps27rt,-9
MyList,GO Biological Processes,19,GO:0017148,negative regulation of translation,,-12,6.8,11,20638,146,454,22,4.8,1,11991|12193|13046|13205|13209|13688|19317|19401|19878|74203|80912|213988|228994|229096|230908|231207|231464|233833|234594|239528|242248|381305,Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Qk|Rara|Rock2|Eif4enif1|Pum1|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Tnrc6a|Cnot1|Ago2|Bank1|Rc3h1,-8.9
MyList,Reactome Gene Sets,6,R-MMU-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-12,3.2,8.7,20638,664,454,47,10,1.4,13058|13367|14269|16801|19046|19053|19878|20663|20742|20868|20874|22284|23943|26403|26554|26931|29875|57294|57778|66713|68524|69581|70719|71302|72754|75547|76626|76707|94176|98386|99982|102098|103573|104215|106504|140579|192176|213498|215280|216965|217866|219140|226652|226849|319171|320795|100043813,Cybb|Diaph1|Fnbp1|Arhgef1|Ppp1cb|Ppp2cb|Rock2|Sos2|Sptbn1|Stk10|Slk|Usp9x|Esyt1|Map3k11|Cul3|Ppp2r5c|Iqgap1|Rps27|Fmnl1|Actr2|Wipf2|Rhou|Arhgap45|Arhgap26|Arhgef10l|Akap13|Msi2|Clasp1|Dock2|Lbr|Kdm1a|Arhgef18|Xpo1|Rhoq|Stk38|Elmo2|Flna|Arhgef11|Wipf1|Taok1|Cdc42bpb|Spata13|Arhgap30|Ppp2r5a|H2ac24|Pkn1|Rps27rt,-8.8
MyList,GO Biological Processes,19,GO:0034248,regulation of cellular amide metabolic process,,-12,4,9.2,20638,410,454,36,7.9,1.3,11651|11991|12193|13046|13205|13209|13688|16589|17347|19229|19317|19401|19878|20683|56177|73826|74203|80912|80913|104625|192160|211006|213988|228994|229096|230908|231207|231464|232791|233833|234594|239528|242248|328572|381305|606496,Akt1|Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Uhmk1|Mknk2|Ptk2b|Qk|Rara|Rock2|Sp1|Olfm1|Poldip3|Eif4enif1|Pum1|Pum2|Cnot6|Casc3|Sepsecs|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Cnot3|Tnrc6a|Cnot1|Ago2|Bank1|Ep300|Rc3h1|Gsk3a,-8.8
MyList,GO Biological Processes,19,GO:0006417,regulation of translation,,-12,4.3,9.3,20638,351,454,33,7.3,1.2,11651|11991|12193|13046|13205|13209|13688|16589|17347|19229|19317|19401|19878|73826|74203|80912|80913|104625|192160|211006|213988|228994|229096|230908|231207|231464|232791|233833|234594|239528|242248|328572|381305,Akt1|Hnrnpd|Zfp36l2|Celf1|Ddx3x|Ddx6|Eif4ebp2|Uhmk1|Mknk2|Ptk2b|Qk|Rara|Rock2|Poldip3|Eif4enif1|Pum1|Pum2|Cnot6|Casc3|Sepsecs|Tnrc6b|Ythdf1|Ythdf3|Tardbp|Cpeb2|Cnot6l|Cnot3|Tnrc6a|Cnot1|Ago2|Bank1|Ep300|Rc3h1,-8.7
