Cluster,Score,Type,Gene,Symbol,Network
1,5.3235294117647065,Clustered,218503,Fcho2,MyList_SUB1
1,5.3235294117647065,Clustered,12402,Cbl,MyList_SUB1
1,5.3235294117647065,Clustered,19053,Ppp2cb,MyList_SUB1
1,5.3235294117647065,Clustered,11834,Aqr,MyList_SUB1
1,5.3235294117647065,Clustered,218914,Wapl,MyList_SUB1
1,5.3235294117647065,Clustered,110809,Srsf1,MyList_SUB1
1,5.3235294117647065,Clustered,19707,Reps1,MyList_SUB1
1,5.3235294117647065,Clustered,103573,Xpo1,MyList_SUB1
1,5.3235294117647065,Clustered,22134,Tgoln1,MyList_SUB1
1,5.3235294117647065,Clustered,226849,Ppp2r5a,MyList_SUB1
1,5.3235294117647065,Clustered,232989,Hnrnpul1,MyList_SUB1
1,5.3235294117647065,Clustered,20637,Snrnp70,MyList_SUB1
1,5.3235294117647065,Clustered,20843,Stag2,MyList_SUB1
1,5.3235294117647065,Clustered,233908,Fus,MyList_SUB1
1,5.3235294117647065,Clustered,76707,Clasp1,MyList_SUB1
1,5.3235294117647065,Clustered,75956,Srrm2,MyList_SUB1
1,5.3235294117647065,Clustered,215114,Hip1,MyList_SUB1
1,5.3235294117647065,Clustered,22668,Sf1,MyList_SUB1
1,5.3235294117647065,Clustered,15463,Agfg1,MyList_SUB1
1,5.3235294117647065,Clustered,216965,Taok1,MyList_SUB1
1,5.3235294117647065,Clustered,57294,Rps27,MyList_SUB1
1,5.3235294117647065,Clustered,64340,Dhx38,MyList_SUB1
1,5.3235294117647065,Seed,68188,Sympk,MyList_SUB1
1,5.3235294117647065,Clustered,104015,Synj1,MyList_SUB1
1,5.3235294117647065,Clustered,240255,Ythdc2,MyList_SUB1
1,5.3235294117647065,Clustered,13132,Dab2,MyList_SUB1
1,5.3235294117647065,Clustered,11991,Hnrnpd,MyList_SUB1
1,5.3235294117647065,Clustered,14269,Fnbp1,MyList_SUB1
1,5.3235294117647065,Clustered,13204,Dhx15,MyList_SUB1
1,5.3235294117647065,Clustered,71521,Pds5a,MyList_SUB1
1,5.3235294117647065,Clustered,66713,Actr2,MyList_SUB1
1,5.3235294117647065,Clustered,26931,Ppp2r5c,MyList_SUB1
1,5.3235294117647065,Clustered,20384,Srsf5,MyList_SUB1
1,5.3235294117647065,Clustered,11772,Ap2a2,MyList_SUB1
8,4.0,Clustered,20868,Stk10,MyList_SUB1
8,4.0,Clustered,68682,Slc44a2,MyList_SUB1
8,4.0,Clustered,67213,Cmtm6,MyList_SUB1
8,4.0,Clustered,13058,Cybb,MyList_SUB1
8,4.0,Clustered,21938,Tnfrsf1b,MyList_SUB1
8,4.0,Clustered,19271,Ptprj,MyList_SUB1
8,4.0,Clustered,16409,Itgam,MyList_SUB1
8,4.0,Clustered,16408,Itgal,MyList_SUB1
8,4.0,Seed,16498,Kcnab2,MyList_SUB1
6,3.272727272727273,Clustered,20683,Sp1,MyList_SUB1
6,3.272727272727273,Clustered,19411,Rarg,MyList_SUB1
6,3.272727272727273,Clustered,20602,Ncor2,MyList_SUB1
6,3.272727272727273,Clustered,328572,Ep300,MyList_SUB1
6,3.272727272727273,Clustered,19401,Rara,MyList_SUB1
6,3.272727272727273,Clustered,52615,Suz12,MyList_SUB1
6,3.272727272727273,Clustered,319171,H2ac24,MyList_SUB1
6,3.272727272727273,Clustered,69188,Kmt2e,MyList_SUB1
6,3.272727272727273,Clustered,22632,Yy1,MyList_SUB1
6,3.272727272727273,Clustered,381022,Kmt2d,MyList_SUB1
6,3.272727272727273,Seed,12914,Crebbp,MyList_SUB1
4,3.0769230769230766,Clustered,19058,Ppp3r1,MyList_SUB1
4,3.0769230769230766,Clustered,50789,Fbxl3,MyList_SUB1
4,3.0769230769230766,Clustered,387524,Znrf2,MyList_SUB1
4,3.0769230769230766,Clustered,59044,Rnf130,MyList_SUB1
4,3.0769230769230766,Clustered,78889,Wsb1,MyList_SUB1
4,3.0769230769230766,Clustered,77113,Klhl2,MyList_SUB1
4,3.0769230769230766,Clustered,19046,Ppp1cb,MyList_SUB1
4,3.0769230769230766,Clustered,56392,Shoc2,MyList_SUB1
4,3.0769230769230766,Clustered,71778,Klhl5,MyList_SUB1
4,3.0769230769230766,Clustered,52432,Ppp2r2d,MyList_SUB1
4,3.0769230769230766,Clustered,26554,Cul3,MyList_SUB1
4,3.0769230769230766,Seed,15939,Ier5,MyList_SUB1
4,3.0769230769230766,Clustered,67345,Herc4,MyList_SUB1
3,1.8125,Clustered,22026,Nr2c2,MyList_SUB1
3,1.8125,Clustered,78783,Brpf1,MyList_SUB1
3,1.8125,Clustered,19211,Pten,MyList_SUB1
3,1.8125,Clustered,22330,Vcl,MyList_SUB1
3,1.8125,Clustered,208043,Setd1b,MyList_SUB1
3,1.8125,Clustered,223770,Brd1,MyList_SUB1
3,1.8125,Clustered,11783,Apaf1,MyList_SUB1
3,1.8125,Clustered,20185,Ncor1,MyList_SUB1
3,1.8125,Clustered,19229,Ptk2b,MyList_SUB1
3,1.8125,Clustered,21413,Tcf4,MyList_SUB1
3,1.8125,Clustered,192176,Flna,MyList_SUB1
3,1.8125,Clustered,207165,Bptf,MyList_SUB1
3,1.8125,Clustered,16331,Inpp5d,MyList_SUB1
3,1.8125,Clustered,20042,Rps12,MyList_SUB1
3,1.8125,Clustered,18718,Pip4k2a,MyList_SUB1
3,1.8125,Clustered,229542,Gatad2b,MyList_SUB1
3,1.8125,Clustered,666586,Gm11808,MyList_SUB1
3,1.8125,Clustered,100043813,Rps27rt,MyList_SUB1
3,1.8125,Clustered,17258,Mef2a,MyList_SUB1
3,1.8125,Seed,18707,Pik3cd,MyList_SUB1
3,1.8125,Clustered,17261,Mef2d,MyList_SUB1
3,1.8125,Clustered,19015,Ppard,MyList_SUB1
3,1.8125,Clustered,12399,Runx3,MyList_SUB1
3,1.8125,Clustered,116870,Mta1,MyList_SUB1
3,1.8125,Clustered,108077,Skiv2l,MyList_SUB1
3,1.8125,Clustered,233789,Smg1,MyList_SUB1
3,1.8125,Clustered,18720,Pip5k1a,MyList_SUB1
3,1.8125,Clustered,238799,Tnpo1,MyList_SUB1
3,1.8125,Clustered,16401,Itga4,MyList_SUB1
3,1.8125,Clustered,12928,Crk,MyList_SUB1
3,1.8125,Clustered,666704,Samd1,MyList_SUB1
3,1.8125,Clustered,235626,Setd2,MyList_SUB1
2,1.7575757575757576,Clustered,56353,Rybp,MyList_SUB1
2,1.7575757575757576,Clustered,231464,Cnot6l,MyList_SUB1
2,1.7575757575757576,Clustered,219140,Spata13,MyList_SUB1
2,1.7575757575757576,Clustered,217578,Baz1a,MyList_SUB1
2,1.7575757575757576,Clustered,21974,Top2b,MyList_SUB1
2,1.7575757575757576,Clustered,12321,Calu,MyList_SUB1
2,1.7575757575757576,Seed,104625,Cnot6,MyList_SUB1
2,1.7575757575757576,Clustered,116848,Baz2a,MyList_SUB1
2,1.7575757575757576,Clustered,99982,Kdm1a,MyList_SUB1
2,1.7575757575757576,Clustered,12767,Cxcr4,MyList_SUB1
2,1.7575757575757576,Clustered,75410,Kmt2b,MyList_SUB1
2,1.7575757575757576,Clustered,20852,Stat6,MyList_SUB1
2,1.7575757575757576,Clustered,232791,Cnot3,MyList_SUB1
2,1.7575757575757576,Clustered,320795,Pkn1,MyList_SUB1
2,1.7575757575757576,Clustered,384309,Trim56,MyList_SUB1
2,1.7575757575757576,Clustered,13003,Vcan,MyList_SUB1
2,1.7575757575757576,Clustered,225115,Svil,MyList_SUB1
2,1.7575757575757576,Clustered,67241,Smc6,MyList_SUB1
2,1.7575757575757576,Clustered,241915,Phc3,MyList_SUB1
2,1.7575757575757576,Clustered,19248,Ptpn12,MyList_SUB1
2,1.7575757575757576,Clustered,12772,Ccr2,MyList_SUB1
2,1.7575757575757576,Clustered,94246,Arid4b,MyList_SUB1
2,1.7575757575757576,Clustered,320129,Grk3,MyList_SUB1
2,1.7575757575757576,Clustered,11804,Aplp2,MyList_SUB1
2,1.7575757575757576,Clustered,244349,Kat6a,MyList_SUB1
2,1.7575757575757576,Clustered,106504,Stk38,MyList_SUB1
2,1.7575757575757576,Clustered,606496,Gsk3a,MyList_SUB1
2,1.7575757575757576,Clustered,12418,Cbx4,MyList_SUB1
2,1.7575757575757576,Clustered,26385,Grk6,MyList_SUB1
2,1.7575757575757576,Clustered,69581,Rhou,MyList_SUB1
2,1.7575757575757576,Clustered,76626,Msi2,MyList_SUB1
2,1.7575757575757576,Clustered,13209,Ddx6,MyList_SUB1
2,1.7575757575757576,Clustered,211770,Trib1,MyList_SUB1
5,1.75,Clustered,14268,Fn1,MyList_SUB1
5,1.75,Clustered,18226,Nup62,MyList_SUB1
5,1.75,Clustered,211673,Arfgef1,MyList_SUB1
5,1.75,Clustered,29875,Iqgap1,MyList_SUB1
5,1.75,Clustered,69562,Cdk13,MyList_SUB1
5,1.75,Clustered,26401,Map3k1,MyList_SUB1
5,1.75,Clustered,11651,Akt1,MyList_SUB1
