Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
17196,3.0,1,1,1
12488,3.0,1,1,1
229096,3.0,1,1,1
18987,3.0,1,1,1
213988,3.0,1,1,1
18519,3.0,1,1,1
14678,3.0,1,1,1
102098,3.0,1,1,1
19645,3.0,1,1,1
231464,3.0,1,1,1
75410,3.0,1,1,1
17347,3.0,1,1,1
53859,3.0,1,1,1
112405,3.0,1,1,1
57778,3.0,1,1,1
231637,3.0,1,1,1
211770,3.0,1,1,1
192157,3.0,1,1,1
12747,3.0,1,1,1
70097,3.0,1,1,1
216965,3.0,1,1,1
19264,3.0,1,1,1
76055,3.0,1,1,1
217124,3.0,1,1,1
12772,3.0,1,1,1
93687,3.0,1,1,1
329003,3.0,1,1,1
214133,3.0,1,1,1
229663,3.0,1,1,1
18226,3.0,1,1,1
232791,3.0,1,1,1
94246,3.0,1,1,1
20663,3.0,1,1,1
64340,3.0,1,1,1
11651,3.0,1,1,1
11991,3.0,1,1,1
11798,3.0,1,1,1
68703,3.0,1,1,1
14159,3.0,1,1,1
215114,3.0,1,1,1
12399,3.0,1,1,1
20742,3.0,1,1,1
14182,3.0,1,1,1
19290,3.0,1,1,1
54343,3.0,1,1,1
30955,3.0,1,1,1
110809,3.0,1,1,1
16408,3.0,1,1,1
72349,3.0,1,1,1
110355,3.0,1,1,1
19053,3.0,1,1,1
54607,3.0,1,1,1
66713,3.0,1,1,1
13383,3.0,1,1,1
384309,3.0,1,1,1
24071,3.0,1,1,1
13046,3.0,1,1,1
69581,3.0,1,1,1
320191,3.0,1,1,1
14268,3.0,1,1,1
12767,3.0,1,1,1
16971,3.0,1,1,1
13205,3.0,1,1,1
320129,3.0,1,1,1
79264,3.0,1,1,1
13860,3.0,1,1,1
22778,3.0,1,1,1
232975,3.0,1,1,1
319885,3.0,1,1,1
17395,3.0,1,1,1
223770,3.0,1,1,1
20874,3.0,1,1,1
80912,3.0,1,1,1
216705,3.0,1,1,1
13688,3.0,1,1,1
103236,3.0,1,1,1
22632,3.0,1,1,1
104015,3.0,1,1,1
232286,3.0,1,1,1
104215,3.0,1,1,1
16401,3.0,1,1,1
80913,3.0,1,1,1
20868,3.0,1,1,1
75547,3.0,1,1,1
70686,3.0,1,1,1
12417,3.0,1,1,1
215351,3.0,1,1,1
29875,3.0,1,1,1
103573,3.0,1,1,1
192196,3.0,1,1,1
73826,3.0,1,1,1
225876,3.0,1,1,1
20687,3.0,1,1,1
17356,3.0,1,1,1
78829,3.0,1,1,1
19043,3.0,1,1,1
16416,3.0,1,1,1
16150,3.0,1,1,1
17951,3.0,1,1,1
54601,3.0,1,1,1
11906,3.0,1,1,1
21974,3.0,1,1,1
12380,3.0,1,1,1
52615,3.0,1,1,1
13132,3.0,1,1,1
78783,3.0,1,1,1
76108,3.0,1,1,1
208043,3.0,1,1,1
12402,3.0,1,1,1
12914,3.0,1,1,1
16331,3.0,1,1,1
381305,3.0,1,1,1
14269,3.0,1,1,1
217866,3.0,1,1,1
26403,3.0,1,1,1
17169,3.0,1,1,1
76707,3.0,1,1,1
19267,3.0,1,1,1
192160,3.0,1,1,1
68652,3.0,1,1,1
22284,3.0,1,1,1
17936,3.0,1,1,1
22083,3.0,1,1,1
116870,3.0,1,1,1
226652,3.0,1,1,1
26400,3.0,1,1,1
17188,3.0,1,1,1
320795,3.0,1,1,1
231207,3.0,1,1,1
16194,3.0,1,1,1
234594,3.0,1,1,1
12795,3.0,1,1,1
13653,3.0,1,1,1
18033,3.0,1,1,1
228994,3.0,1,1,1
26936,3.0,1,1,1
