Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-9711123,Cellular response to chemical stress,,-32,9.5,19,20638,141,709,46,6.5,0.93,11758|12460|12868|13057|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|54683|56551|59029|66401|66413|70247|109778|110323|228769|233016,Prdx6|Ccs|Cox8a|Cyba|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Prdx5|Txn2|Psmd14|Nudt2|Psmd6|Psmd1|Blvra|Cox6b1|Psmf1|Blvrb,-27,MyList
Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-31,4.6,16,20638,510,709,81,11,1.2,11593|11674|11758|11886|11984|12238|12267|12469|12491|12512|12514|13001|13014|13030|13032|13033|13036|13040|13057|13200|13627|14127|14293|14319|14590|14728|14824|15170|15481|16411|16783|17105|17463|18103|18173|18636|18648|18746|18950|19156|19166|19181|19182|19342|19349|20201|20409|22154|22320|23845|23918|23997|26442|26949|30960|53378|53381|55950|56444|56620|59029|64138|66413|66508|67771|67963|69146|69537|69550|70247|70495|73834|74012|75612|140497|226695|227613|232413|232449|268373|381308,Aga|Aldoa|Prdx6|Asah1|Atp6v0c|Commd3|C3ar1|Cct8|Cd36|Cd63|Cd68|Csnk2b|Cstb|Ctsb|Ctsc|Ctsd|Ctsh|Ctss|Cyba|Ddost|Eef1a1|Fcer1g|Fpr1|Fth1|Ggh|Lilrb4a|Grn|Ptpn6|Hspa8|Itgax|Lamp1|Lyz2|Psmd7|Nme2|Slc11a1|Cfp|Pgam1|Pkm|Pnp|Psap|Psma2|Psmc2|Psmc3|Rab4b|Rab7|S100a8|Ostf1|Tubb5|Vamp8|Clec5a|Impdh2|Psmd13|Psma5|Vat1|Vapa|Sdcbp|Prdx4|Bri3|Actr10|Clec4n|Psmd14|Ctsz|Psmd6|Lamtor1|Arpc5|Npc2|Gsdmd|Dnase1l1|Bst2|Psmd1|Atp6ap2|Atp6v1d|Rap2b|Gns|Cd300c2|Ifi205|Tubb4b|Clec12a|Dera|Ppia|Ifi211,-27,MyList
Reactome Gene Sets,6,R-MMU-75815,Ubiquitin-dependent degradation of Cyclin D,,-29,17,21,20638,51,709,29,4.1,0.74,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-25,MyList
Reactome Gene Sets,6,R-MMU-8939902,Regulation of RUNX2 expression and activity,,-28,16,21,20638,52,709,29,4.1,0.74,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|56424|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Stub1|Psmd14|Psmd6|Psmd1|Psmf1,-25,MyList
Reactome Gene Sets,6,R-MMU-8878166,Transcriptional regulation by RUNX2,,-28,14,20,20638,63,709,31,4.4,0.77,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|56424|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Stub1|Psmd14|Psmd6|Psmd1|Psmf1,-25,MyList
Reactome Gene Sets,6,R-MMU-2262752,Cellular responses to stress,,-28,4.4,15,20638,504,709,77,11,1.2,11758|11966|11972|11973|11974|11984|12343|12460|12567|12868|13057|13627|15078|15081|15361|15481|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|22627|23996|23997|26440|26441|26442|26445|26446|51788|53380|53598|54683|56351|56444|56550|56551|59029|66105|66290|66335|66401|66403|66413|66440|66508|67673|68441|70247|73834|109778|110323|110379|114143|227613|228769|233016|242341,Prdx6|Atp6v1b2|Atp6v0d1|Atp6v1e1|Atp6v0e|Atp6v0c|Capza2|Ccs|Cdk4|Cox8a|Cyba|Eef1a1|H3f3a|H3f3b|Hmga1|Hspa8|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Ywhae|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|H2az1|Psmd10|Dctn3|Prdx5|Ptges3|Actr10|Ube2d2a|Txn2|Psmd14|Ube2d3|Atp6v1g1|Atp6v1c1|Nudt2|Asf1a|Psmd6|Cdc26|Lamtor1|Elob|Rraga|Psmd1|Atp6v1d|Blvra|Cox6b1|Sec13|Atp6v0b|Tubb4b|Psmf1|Blvrb|Atp6v0d2,-25,MyList
Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to external stimuli,,-28,4.4,15,20638,507,709,77,11,1.2,11758|11966|11972|11973|11974|11984|12343|12460|12567|12868|13057|13627|15078|15081|15361|15481|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|22627|23996|23997|26440|26441|26442|26445|26446|51788|53380|53598|54683|56351|56444|56550|56551|59029|66105|66290|66335|66401|66403|66413|66440|66508|67673|68441|70247|73834|109778|110323|110379|114143|227613|228769|233016|242341,Prdx6|Atp6v1b2|Atp6v0d1|Atp6v1e1|Atp6v0e|Atp6v0c|Capza2|Ccs|Cdk4|Cox8a|Cyba|Eef1a1|H3f3a|H3f3b|Hmga1|Hspa8|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Ywhae|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|H2az1|Psmd10|Dctn3|Prdx5|Ptges3|Actr10|Ube2d2a|Txn2|Psmd14|Ube2d3|Atp6v1g1|Atp6v1c1|Nudt2|Asf1a|Psmd6|Cdc26|Lamtor1|Elob|Rraga|Psmd1|Atp6v1d|Blvra|Cox6b1|Sec13|Atp6v0b|Tubb4b|Psmf1|Blvrb|Atp6v0d2,-24,MyList
Reactome Gene Sets,6,R-MMU-187577,SCF(Skp2)-mediated degradation of p27/p21,,-27,14,20,20638,61,709,30,4.2,0.76,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-24,MyList
Reactome Gene Sets,6,R-MMU-5607761,Dectin-1 mediated noncanonical NF-kB signaling,,-27,15,20,20638,57,709,29,4.1,0.74,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|19698|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Relb|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-24,MyList
Reactome Gene Sets,6,R-MMU-5676590,NIK-->noncanonical NF-kB signaling,,-27,15,20,20638,57,709,29,4.1,0.74,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|19698|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Relb|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-24,MyList
