_MEMBER_MyList,_LogP_MyList,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.9,mmu_M00072,N-glycosylation by oligosaccharyltransferase,M1,1,0
1,-3.1,GO:0050727,regulation of inflammatory response,M1,1,0
1,-2.8,R-MMU-2682334,EPH-Ephrin signaling,M1,1,0
1,-4.8,R-MMU-9612973,Autophagy,M1,1,0
1,-2.5,GO:0008154,actin polymerization or depolymerization,M1,1,0
1,-2.6,GO:1903901,negative regulation of viral life cycle,M1,1,0
1,-5,R-MMU-168898,Toll-like Receptor Cascades,M1,1,0
1,-5,GO:0002697,regulation of immune effector process,M1,1,0
1,-3.4,R-MMU-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,M1,1,0
1,-2.1,GO:0050878,regulation of body fluid levels,M1,1,0
1,-2.2,GO:1903008,organelle disassembly,M1,1,0
1,-2.3,GO:0043653,mitochondrial fragmentation involved in apoptotic process,M1,1,0
1,-2.1,GO:0006631,fatty acid metabolic process,M1,1,0
1,-2.8,mmu00071,Fatty acid degradation,M1,1,0
1,-2.5,R-MMU-9609507,Protein localization,M1,1,0
1,-3.5,ko05132,Salmonella infection,M1,1,0
1,-3.5,R-MMU-5675482,Regulation of necroptotic cell death,M1,1,0
1,-2.6,GO:0032735,positive regulation of interleukin-12 production,M1,1,0
1,-3,GO:0006626,protein targeting to mitochondrion,M1,1,0
1,-2.6,GO:0032496,response to lipopolysaccharide,M1,1,0
1,-2.2,GO:0072659,protein localization to plasma membrane,M1,1,0
1,-2.3,GO:0010035,response to inorganic substance,M1,1,0
1,-2.5,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,M1,1,0
1,-2.7,ko05140,Leishmaniasis,M1,1,0
1,-2.3,ko04380,Osteoclast differentiation,M1,1,0
1,-2.5,GO:0051052,regulation of DNA metabolic process,M1,1,0
1,-25,R-MMU-69613,p53-Independent G1/S DNA damage checkpoint,M1,1,0
1,-2.9,GO:0002237,response to molecule of bacterial origin,M1,1,0
1,-2,R-MMU-209543,p75NTR recruits signalling complexes,M1,1,0
1,-6.9,GO:0097237,cellular response to toxic substance,M1,1,0
1,-9.3,R-MMU-1640170,Cell Cycle,M1,1,0
1,-21,R-MMU-202403,TCR signaling,M1,1,0
1,-2,GO:0050863,regulation of T cell activation,M1,1,0
1,-3,GO:0033032,regulation of myeloid cell apoptotic process,M1,1,0
1,-3.3,GO:0052126,movement in host environment,M1,1,0
1,-5.3,GO:0042590,antigen processing and presentation of exogenous peptide antigen via MHC class I,M1,1,0
1,-3.4,GO:0046916,cellular transition metal ion homeostasis,M1,1,0
1,-3,mmu00010,Glycolysis / Gluconeogenesis,M1,1,0
1,-5.5,CORUM:381,"Respiratory chain complex I, mitochondrial",M1,1,0
1,-25,R-MMU-69610,p53-Independent DNA Damage Response,M1,1,0
1,-3.8,GO:0035456,response to interferon-beta,M1,1,0
1,-3.2,GO:0051656,establishment of organelle localization,M1,1,0
1,-5,GO:0042168,heme metabolic process,M1,1,0
1,-4,R-MMU-110312,Translesion synthesis by REV1,M1,1,0
1,-3.8,GO:0006885,regulation of pH,M1,1,0
1,-2.6,GO:0000422,autophagy of mitochondrion,M1,1,0
1,-5.3,R-MMU-77286,mitochondrial fatty acid beta-oxidation of saturated fatty acids,M1,1,0
1,-5.3,GO:0030162,regulation of proteolysis,M1,1,0
1,-2.3,GO:0032612,interleukin-1 production,M1,1,0
1,-4.5,R-MMU-74752,Signaling by Insulin receptor,M1,1,0
1,-4.1,GO:0001906,cell killing,M1,1,0
1,-7.2,R-MMU-163210,Formation of ATP by chemiosmotic coupling,M1,1,0
1,-2.5,GO:0000209,protein polyubiquitination,M1,1,0
1,-2,GO:1901657,glycosyl compound metabolic process,M1,1,0
1,-3.2,mmu05133,Pertussis,M1,1,0
1,-3.1,GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,M1,1,0
1,-12,GO:0007005,mitochondrion organization,M1,1,0
1,-2.1,GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,M1,1,0
1,-4.8,R-MMU-8876725,Protein methylation,M1,1,0
1,-5.2,GO:0000305,response to oxygen radical,M1,1,0
1,-3.4,GO:0071453,cellular response to oxygen levels,M1,1,0
1,-2.4,GO:0009127,purine nucleoside monophosphate biosynthetic process,M1,1,0
1,-4.1,GO:0030004,cellular monovalent inorganic cation homeostasis,M1,1,0
1,-3.3,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,M1,1,0
1,-3,GO:0070301,cellular response to hydrogen peroxide,M1,1,0
1,-25,R-MMU-8941858,Regulation of RUNX3 expression and activity,M1,1,0
1,-3.6,GO:2000278,regulation of DNA biosynthetic process,M1,1,0
1,-3.8,GO:0071404,cellular response to low-density lipoprotein particle stimulus,M1,1,0
1,-2.2,ko04137,Mitophagy - animal,M1,1,0
1,-2.3,GO:0009060,aerobic respiration,M1,1,0
1,-13,ko05010,Alzheimer's disease,M1,1,0
1,-2.2,GO:0016054,organic acid catabolic process,M1,1,0
1,-22,R-MMU-174178,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,M1,1,0
1,-4.5,GO:0036295,cellular response to increased oxygen levels,M1,1,0
1,-2.5,GO:0001798,positive regulation of type IIa hypersensitivity,M1,1,0
1,-2.1,GO:0070527,platelet aggregation,M1,1,0
1,-27,R-MMU-187577,SCF(Skp2)-mediated degradation of p27/p21,M1,1,0
1,-3.8,R-MMU-5655862,Translesion synthesis by POLK,M1,1,0
1,-2.5,GO:0006622,protein targeting to lysosome,M1,1,0
1,-2.9,GO:1904814,"regulation of protein localization to chromosome, telomeric region",M1,1,0
1,-4,GO:0009150,purine ribonucleotide metabolic process,M1,1,0
1,-3.6,GO:0007599,hemostasis,M1,1,0
1,-2.1,GO:0042176,regulation of protein catabolic process,M1,1,0
1,-2.7,GO:0018119,peptidyl-cysteine S-nitrosylation,M1,1,0
1,-2.4,R-MMU-5620971,Pyroptosis,M1,1,0
1,-2.4,GO:0034248,regulation of cellular amide metabolic process,M1,1,0
1,-2,GO:0001781,neutrophil apoptotic process,M1,1,0
1,-3.1,GO:0010594,regulation of endothelial cell migration,M1,1,0
1,-25,R-MMU-9020702,Interleukin-1 signaling,M1,1,0
1,-3.7,GO:0000302,response to reactive oxygen species,M1,1,0
1,-2.9,GO:0002536,respiratory burst involved in inflammatory response,M1,1,0
1,-2.3,mmu05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-26,R-MMU-5610780,Degradation of GLI1 by the proteasome,M1,1,0
1,-2.1,GO:1901068,guanosine-containing compound metabolic process,M1,1,0
1,-5.1,GO:0009165,nucleotide biosynthetic process,M1,1,0
1,-2.9,GO:0010595,positive regulation of endothelial cell migration,M1,1,0
1,-2.4,GO:0006183,GTP biosynthetic process,M1,1,0
1,-2.7,GO:0051272,positive regulation of cellular component movement,M1,1,0
1,-2.5,GO:0035425,autocrine signaling,M1,1,0
1,-2.5,GO:0035036,sperm-egg recognition,M1,1,0
1,-14,GO:0010499,proteasomal ubiquitin-independent protein catabolic process,M1,1,0
1,-2.7,GO:0051817,modulation of process of other organism involved in symbiotic interaction,M1,1,0
1,-2.1,R-MMU-189445,Metabolism of porphyrins,M1,1,0
1,-2.9,mmu01230,Biosynthesis of amino acids,M1,1,0
1,-26,R-MMU-9707587,Regulation of HMOX1 expression and activity,M1,1,0
1,-3.5,GO:0050817,coagulation,M1,1,0
1,-11,R-MMU-9006925,Intracellular signaling by second messengers,M1,1,0
1,-3.9,R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),M1,1,0
1,-11,R-MMU-1257604,PIP3 activates AKT signaling,M1,1,0
1,-6.1,GO:0009141,nucleoside triphosphate metabolic process,M1,1,0
1,-2.6,GO:0046902,regulation of mitochondrial membrane permeability,M1,1,0
1,-5.7,GO:0043604,amide biosynthetic process,M1,1,0
1,-23,mmu04142,Lysosome,M1,1,0
1,-4.9,GO:0006412,translation,M1,1,0
1,-3.5,GO:1903201,regulation of oxidative stress-induced cell death,M1,1,0
1,-2.7,GO:0061919,process utilizing autophagic mechanism,M1,1,0
1,-3.6,GO:0044282,small molecule catabolic process,M1,1,0
1,-2.4,R-MMU-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,M1,1,0
1,-4.5,GO:2000377,regulation of reactive oxygen species metabolic process,M1,1,0
1,-9.7,R-MMU-5684996,MAPK1/MAPK3 signaling,M1,1,0
1,-2.2,R-MMU-5684264,MAP3K8 (TPL2)-dependent MAPK1/3 activation,M1,1,0
1,-2.7,mmu00740,Riboflavin metabolism,M1,1,0
1,-3.2,GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,M1,1,0
1,-2.3,GO:0042762,regulation of sulfur metabolic process,M1,1,0
1,-2.2,GO:2000108,positive regulation of leukocyte apoptotic process,M1,1,0
1,-2.4,GO:0048662,negative regulation of smooth muscle cell proliferation,M1,1,0
1,-2.9,GO:1903334,positive regulation of protein folding,M1,1,0
1,-7,GO:0098869,cellular oxidant detoxification,M1,1,0
1,-2.2,GO:0030100,regulation of endocytosis,M1,1,0
1,-3.8,GO:0048002,antigen processing and presentation of peptide antigen,M1,1,0
1,-8.6,GO:0010498,proteasomal protein catabolic process,M1,1,0
1,-3.1,GO:1904816,"positive regulation of protein localization to chromosome, telomeric region",M1,1,0
1,-4.5,GO:0051084,'de novo' posttranslational protein folding,M1,1,0
1,-2.7,GO:0050865,regulation of cell activation,M1,1,0
1,-7.3,GO:0009144,purine nucleoside triphosphate metabolic process,M1,1,0
1,-2.6,GO:0030837,negative regulation of actin filament polymerization,M1,1,0
1,-2,mmu04120,Ubiquitin mediated proteolysis,M1,1,0
1,-2.7,GO:1903978,regulation of microglial cell activation,M1,1,0
1,-2.6,GO:0071222,cellular response to lipopolysaccharide,M1,1,0
1,-2.5,GO:0097345,mitochondrial outer membrane permeabilization,M1,1,0
1,-2.7,CORUM:40,"COP9 signalosome complex (Gps1, Cops1, Cops2, Cops3, Cops4, Cops5, Cops6, Cops7a, Cops8)",M1,1,0
1,-4,mmu04621,NOD-like receptor signaling pathway,M1,1,0
1,-3.4,GO:0032271,regulation of protein polymerization,M1,1,0
1,-2.2,GO:0050866,negative regulation of cell activation,M1,1,0
1,-2.5,GO:0001913,T cell mediated cytotoxicity,M1,1,0
1,-3.7,GO:0098760,response to interleukin-7,M1,1,0
1,-6.5,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,M1,1,0
