_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-31.77059915444601,R-MMU-9711123,M1,1,0,Reactome Gene Sets,6,Cellular response to chemical stress,,-31.77059915444601,9.496423891406335,19.094321176075738,20638,141,709,46,6.488011283497884,0.9250523851556067,11758|12460|12868|13057|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|54683|56551|59029|66401|66413|70247|109778|110323|228769|233016,Prdx6|Ccs|Cox8a|Cyba|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Prdx5|Txn2|Psmd14|Nudt2|Psmd6|Psmd1|Blvra|Cox6b1|Psmf1|Blvrb,-27.489315741953046,0,1,1,1,-31.77059915444601,20.791859762240584,
1,-28.816569217631017,R-MMU-75815,M1,1,0,Reactome Gene Sets,6,Ubiquitin-dependent degradation of Cyclin D,,-28.816569217631017,16.5519511048425,20.973798148792216,20638,51,709,29,4.090267983074753,0.7438478336494483,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-25.012407059857715,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-28.47637441282882,R-MMU-8939902,M1,1,0,Reactome Gene Sets,6,Regulation of RUNX2 expression and activity,,-28.47637441282882,16.2336443528263,20.7454636708111,20638,52,709,29,4.090267983074753,0.7438478336494483,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|56424|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Stub1|Psmd14|Psmd6|Psmd1|Psmf1,-24.79715099166382,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-28.152106829836793,R-MMU-8878166,M1,1,0,Reactome Gene Sets,6,Transcriptional regulation by RUNX2,,-28.152106829836793,14.323281169543511,19.97630646353384,20638,63,709,31,4.372355430183357,0.767938323042846,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|56424|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Stub1|Psmd14|Psmd6|Psmd1|Psmf1,-24.569793421679847,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-28.029689144774906,R-MMU-2262752,M1,1,0,Reactome Gene Sets,6,Cellular responses to stress,,-28.029689144774906,4.447147782479235,14.77793610920806,20638,504,709,77,10.860366713681241,1.1685156921178481,11758|11966|11972|11973|11974|11984|12343|12460|12567|12868|13057|13627|15078|15081|15361|15481|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|22627|23996|23997|26440|26441|26442|26445|26446|51788|53380|53598|54683|56351|56444|56550|56551|59029|66105|66290|66335|66401|66403|66413|66440|66508|67673|68441|70247|73834|109778|110323|110379|114143|227613|228769|233016|242341,Prdx6|Atp6v1b2|Atp6v0d1|Atp6v1e1|Atp6v0e|Atp6v0c|Capza2|Ccs|Cdk4|Cox8a|Cyba|Eef1a1|H3f3a|H3f3b|Hmga1|Hspa8|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Ywhae|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|H2az1|Psmd10|Dctn3|Prdx5|Ptges3|Actr10|Ube2d2a|Txn2|Psmd14|Ube2d3|Atp6v1g1|Atp6v1c1|Nudt2|Asf1a|Psmd6|Cdc26|Lamtor1|Elob|Rraga|Psmd1|Atp6v1d|Blvra|Cox6b1|Sec13|Atp6v0b|Tubb4b|Psmf1|Blvrb|Atp6v0d2,-24.526556982665586,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-27.855496021426095,R-MMU-8953897,M1,1,0,Reactome Gene Sets,6,Cellular responses to external stimuli,,-27.855496021426095,4.42083329855924,14.709803197319927,20638,507,709,77,10.860366713681241,1.1685156921178481,11758|11966|11972|11973|11974|11984|12343|12460|12567|12868|13057|13627|15078|15081|15361|15481|16912|16913|17463|17972|18024|18453|18477|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|20467|20656|21402|21672|22166|22187|22190|22627|23996|23997|26440|26441|26442|26445|26446|51788|53380|53598|54683|56351|56444|56550|56551|59029|66105|66290|66335|66401|66403|66413|66440|66508|67673|68441|70247|73834|109778|110323|110379|114143|227613|228769|233016|242341,Prdx6|Atp6v1b2|Atp6v0d1|Atp6v1e1|Atp6v0e|Atp6v0c|Capza2|Ccs|Cdk4|Cox8a|Cyba|Eef1a1|H3f3a|H3f3b|Hmga1|Hspa8|Psmb9|Psmb8|Psmd7|Ncf4|Nfe2l2|P4hb|Prdx1|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Sin3b|Sod2|Skp1|Prdx2|Txn1|Ubb|Ubc|Ywhae|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|H2az1|Psmd10|Dctn3|Prdx5|Ptges3|Actr10|Ube2d2a|Txn2|Psmd14|Ube2d3|Atp6v1g1|Atp6v1c1|Nudt2|Asf1a|Psmd6|Cdc26|Lamtor1|Elob|Rraga|Psmd1|Atp6v1d|Blvra|Cox6b1|Sec13|Atp6v0b|Tubb4b|Psmf1|Blvrb|Atp6v0d2,-24.419310648947388,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-27.251242871785525,R-MMU-187577,M1,1,0,Reactome Gene Sets,6,SCF(Skp2)-mediated degradation of p27/p21,,-27.251242871785525,14.315706721542695,19.644535129030235,20638,61,709,30,4.231311706629055,0.7560076005620215,12443|12567|16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Ccnd1|Cdk4|Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-23.873049446284504,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-26.917330913359066,R-MMU-5607761,M1,1,0,Reactome Gene Sets,6,Dectin-1 mediated noncanonical NF-kB signaling,,-26.917330913359066,14.8096404622275,19.692017332270172,20638,57,709,29,4.090267983074753,0.7438478336494483,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|19698|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Relb|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-23.636047500866102,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-26.917330913359066,R-MMU-5676590,M1,1,0,Reactome Gene Sets,6,NIK-->noncanonical NF-kB signaling,,-26.917330913359066,14.8096404622275,19.692017332270172,20638,57,709,29,4.090267983074753,0.7438478336494483,16912|16913|17463|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|19698|21402|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Relb|Skp1|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-23.636047500866102,0,1,0,0,-31.77059915444601,20.791859762240584,
1,-26.615153801176874,R-MMU-8932339,M1,1,0,Reactome Gene Sets,6,ROS sensing by NFE2L2,,-26.615153801176874,15.37813023924209,19.768265188226263,20638,53,709,28,3.9492242595204514,0.7314475993194287,16912|16913|17463|18024|19166|19167|19171|19173|19175|19181|19182|19184|19186|19188|22187|22190|23996|23997|26440|26441|26442|26445|26446|53380|59029|66413|70247|228769,Psmb9|Psmb8|Psmd7|Nfe2l2|Psma2|Psma3|Psmb10|Psmb5|Psmb6|Psmc2|Psmc3|Psmc5|Psme1|Psme2|Ubb|Ubc|Psmc4|Psmd13|Psma1|Psma4|Psma5|Psmb2|Psmb3|Psmd10|Psmd14|Psmd6|Psmd1|Psmf1,-23.37526307384213,0,1,0,0,-31.77059915444601,20.791859762240584,
