Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
12524,3.0,1,1,1
110391,3.0,1,1,1
26440,3.0,1,1,1
209318,3.0,1,1,1
195040,3.0,1,1,1
16898,3.0,1,1,1
19703,3.0,1,1,1
64383,3.0,1,1,1
56174,3.0,1,1,1
15481,3.0,1,1,1
21855,3.0,1,1,1
19156,3.0,1,1,1
11564,3.0,1,1,1
13589,3.0,1,1,1
30960,3.0,1,1,1
67673,3.0,1,1,1
59029,3.0,1,1,1
66271,3.0,1,1,1
19016,3.0,1,1,1
26446,3.0,1,1,1
11946,3.0,1,1,1
13202,3.0,1,1,1
11769,3.0,1,1,1
15312,3.0,1,1,1
22154,3.0,1,1,1
54683,3.0,1,1,1
56428,3.0,1,1,1
226421,3.0,1,1,1
26445,3.0,1,1,1
14824,3.0,1,1,1
11605,3.0,1,1,1
15387,3.0,1,1,1
15900,3.0,1,1,1
66102,3.0,1,1,1
12469,3.0,1,1,1
19241,3.0,1,1,1
26570,3.0,1,1,1
68043,3.0,1,1,1
14630,3.0,1,1,1
12362,3.0,1,1,1
11972,3.0,1,1,1
242341,3.0,1,1,1
80287,3.0,1,1,1
29876,3.0,1,1,1
16852,3.0,1,1,1
17105,3.0,1,1,1
14728,3.0,1,1,1
22608,3.0,1,1,1
170930,3.0,1,1,1
14194,3.0,1,1,1
11482,3.0,1,1,1
11966,3.0,1,1,1
12868,3.0,1,1,1
18103,3.0,1,1,1
13684,3.0,1,1,1
22187,3.0,1,1,1
22320,3.0,1,1,1
66335,3.0,1,1,1
108660,3.0,1,1,1
66397,3.0,1,1,1
16913,3.0,1,1,1
16432,3.0,1,1,1
56382,3.0,1,1,1
22190,3.0,1,1,1
12045,3.0,1,1,1
30926,3.0,1,1,1
53600,3.0,1,1,1
26441,3.0,1,1,1
13057,3.0,1,1,1
12332,3.0,1,1,1
26888,3.0,1,1,1
19718,3.0,1,1,1
50778,3.0,1,1,1
14433,3.0,1,1,1
14862,3.0,1,1,1
53817,3.0,1,1,1
74012,3.0,1,1,1
66525,3.0,1,1,1
66537,3.0,1,1,1
67003,3.0,1,1,1
19171,3.0,1,1,1
12442,3.0,1,1,1
22334,3.0,1,1,1
54673,3.0,1,1,1
67115,3.0,1,1,1
11974,3.0,1,1,1
56334,3.0,1,1,1
232449,3.0,1,1,1
19349,3.0,1,1,1
21672,3.0,1,1,1
56486,3.0,1,1,1
17113,3.0,1,1,1
12314,3.0,1,1,1
67845,3.0,1,1,1
68953,3.0,1,1,1
17720,3.0,1,1,1
23980,3.0,1,1,1
54725,3.0,1,1,1
16149,3.0,1,1,1
13030,3.0,1,1,1
14701,3.0,1,1,1
13665,3.0,1,1,1
22209,3.0,1,1,1
67680,3.0,1,1,1
19944,3.0,1,1,1
12540,3.0,1,1,1
18242,3.0,1,1,1
19184,3.0,1,1,1
66317,3.0,1,1,1
56378,3.0,1,1,1
23997,3.0,1,1,1
67838,3.0,1,1,1
17993,3.0,1,1,1
27050,3.0,1,1,1
27367,3.0,1,1,1
12785,3.0,1,1,1
19188,3.0,1,1,1
67903,3.0,1,1,1
66383,3.0,1,1,1
170718,3.0,1,1,1
22273,3.0,1,1,1
26754,3.0,1,1,1
12567,3.0,1,1,1
104303,3.0,1,1,1
74117,3.0,1,1,1
18807,3.0,1,1,1
12176,3.0,1,1,1
19896,3.0,1,1,1
19988,3.0,1,1,1
54411,3.0,1,1,1
22627,3.0,1,1,1
66694,3.0,1,1,1
93692,3.0,1,1,1
12631,3.0,1,1,1
13001,3.0,1,1,1
53379,3.0,1,1,1
67588,3.0,1,1,1
56748,3.0,1,1,1
109778,3.0,1,1,1
16828,3.0,1,1,1
12514,3.0,1,1,1
225887,3.0,1,1,1
19166,3.0,1,1,1
54397,3.0,1,1,1
94181,3.0,1,1,1
24068,3.0,1,1,1
22323,3.0,1,1,1
18746,3.0,1,1,1
11837,3.0,1,1,1
26941,3.0,1,1,1
53598,3.0,1,1,1
56550,3.0,1,1,1
11949,3.0,1,1,1
15199,3.0,1,1,1
110323,3.0,1,1,1
227620,3.0,1,1,1
13177,3.0,1,1,1
66413,3.0,1,1,1
22003,3.0,1,1,1
12028,3.0,1,1,1
11740,3.0,1,1,1
11632,3.0,1,1,1
70495,3.0,1,1,1
11491,3.0,1,1,1
53382,3.0,1,1,1
16765,3.0,1,1,1
12460,3.0,1,1,1
19182,3.0,1,1,1
73830,3.0,1,1,1
227613,3.0,1,1,1
67943,3.0,1,1,1
26949,3.0,1,1,1
16186,3.0,1,1,1
11432,3.0,1,1,1
70110,3.0,1,1,1
110954,3.0,1,1,1
16418,3.0,1,1,1
19384,3.0,1,1,1
110842,3.0,1,1,1
68523,3.0,1,1,1
14129,3.0,1,1,1
23996,3.0,1,1,1
54325,3.0,1,1,1
56440,3.0,1,1,1
75612,3.0,1,1,1
21881,3.0,1,1,1
66108,3.0,1,1,1
22352,3.0,1,1,1
17069,3.0,1,1,1
22333,3.0,1,1,1
106025,3.0,1,1,1
21991,3.0,1,1,1
68135,3.0,1,1,1
11947,3.0,1,1,1
14102,3.0,1,1,1
17357,3.0,1,1,1
71853,3.0,1,1,1
75736,3.0,1,1,1
19167,3.0,1,1,1
67013,3.0,1,1,1
16181,3.0,1,1,1
14468,3.0,1,1,1
20723,3.0,1,1,1
11692,3.0,1,1,1
110213,3.0,1,1,1
14131,3.0,1,1,1
22335,3.0,1,1,1
66105,3.0,1,1,1
11745,3.0,1,1,1
11629,3.0,1,1,1
21877,3.0,1,1,1
16411,3.0,1,1,1
16197,3.0,1,1,1
18453,3.0,1,1,1
56444,3.0,1,1,1
11984,3.0,1,1,1
245847,3.0,1,1,1
18950,3.0,1,1,1
66290,3.0,1,1,1
11758,3.0,1,1,1
12522,3.0,1,1,1
20201,3.0,1,1,1
53380,3.0,1,1,1
74105,3.0,1,1,1
53612,3.0,1,1,1
16854,3.0,1,1,1
56351,3.0,1,1,1
223696,3.0,1,1,1
28080,3.0,1,1,1
19173,3.0,1,1,1
22259,3.0,1,1,1
22196,3.0,1,1,1
18477,3.0,1,1,1
16952,3.0,1,1,1
228769,3.0,1,1,1
68332,3.0,1,1,1
109552,3.0,1,1,1
83433,3.0,1,1,1
56426,3.0,1,1,1
53381,3.0,1,1,1
70556,3.0,1,1,1
223601,3.0,1,1,1
11541,3.0,1,1,1
66834,3.0,1,1,1
12464,3.0,1,1,1
108124,3.0,1,1,1
74748,3.0,1,1,1
73834,3.0,1,1,1
13200,3.0,1,1,1
11774,3.0,1,1,1
66589,3.0,1,1,1
18245,3.0,1,1,1
68089,3.0,1,1,1
66868,3.0,1,1,1
54198,3.0,1,1,1
12913,3.0,1,1,1
15452,3.0,1,1,1
69639,3.0,1,1,1
15288,3.0,1,1,1
67273,3.0,1,1,1
22166,3.0,1,1,1
12846,3.0,1,1,1
17972,3.0,1,1,1
19181,3.0,1,1,1
15170,3.0,1,1,1
72151,3.0,1,1,1
109075,3.0,1,1,1
30931,3.0,1,1,1
51788,3.0,1,1,1
67841,3.0,1,1,1
21402,3.0,1,1,1
18412,3.0,1,1,1
13032,3.0,1,1,1
56700,3.0,1,1,1
66736,3.0,1,1,1
64138,3.0,1,1,1
20014,3.0,1,1,1
21815,3.0,1,1,1
15211,3.0,1,1,1
16168,3.0,1,1,1
21767,3.0,1,1,1
21354,3.0,1,1,1
93747,3.0,1,1,1
56424,3.0,1,1,1
17713,3.0,1,1,1
56743,3.0,1,1,1
16956,3.0,1,1,1
56322,3.0,1,1,1
12757,3.0,1,1,1
74568,3.0,1,1,1
14293,3.0,1,1,1
11520,3.0,1,1,1
27061,3.0,1,1,1
11370,3.0,1,1,1
11993,3.0,1,1,1
71890,3.0,1,1,1
23983,3.0,1,1,1
14590,3.0,1,1,1
14068,3.0,1,1,1
54486,3.0,1,1,1
12491,3.0,1,1,1
20656,3.0,1,1,1
18002,3.0,1,1,1
18173,3.0,1,1,1
11898,3.0,1,1,1
114143,3.0,1,1,1
227290,3.0,1,1,1
14683,3.0,1,1,1
11773,3.0,1,1,1
12799,3.0,1,1,1
103963,3.0,1,1,1
110379,3.0,1,1,1
66092,3.0,1,1,1
22351,3.0,1,1,1
18643,3.0,1,1,1
17463,3.0,1,1,1
70247,3.0,1,1,1
16153,3.0,1,1,1
72736,3.0,1,1,1
23845,3.0,1,1,1
12443,3.0,1,1,1
13361,3.0,1,1,1
26879,3.0,1,1,1
55932,3.0,1,1,1
233016,3.0,1,1,1
14325,3.0,1,1,1
12034,3.0,1,1,1
17254,3.0,1,1,1
66168,3.0,1,1,1
80885,3.0,1,1,1
16912,3.0,1,1,1
12465,3.0,1,1,1
18648,3.0,1,1,1
17909,3.0,1,1,1
13885,3.0,1,1,1
11886,3.0,1,1,1
17706,3.0,1,1,1
17060,3.0,1,1,1
68581,3.0,1,1,1
68441,3.0,1,1,1
56348,3.0,1,1,1
68349,3.0,1,1,1
67963,3.0,1,1,1
12215,3.0,1,1,1
17995,3.0,1,1,1
14674,3.0,1,1,1
66656,3.0,1,1,1
19035,3.0,1,1,1
74778,3.0,1,1,1
12313,3.0,1,1,1
66480,3.0,1,1,1
26893,3.0,1,1,1
11844,3.0,1,1,1
231086,3.0,1,1,1
14469,3.0,1,1,1
12044,3.0,1,1,1
11973,3.0,1,1,1
56495,3.0,1,1,1
66054,3.0,1,1,1
18438,3.0,1,1,1
11532,3.0,1,1,1
69550,3.0,1,1,1
18024,3.0,1,1,1
27176,3.0,1,1,1
27419,3.0,1,1,1
12260,3.0,1,1,1
20750,3.0,1,1,1
56791,3.0,1,1,1
16889,3.0,1,1,1
268373,3.0,1,1,1
232910,3.0,1,1,1
16783,3.0,1,1,1
14283,3.0,1,1,1
27007,3.0,1,1,1
66043,3.0,1,1,1
228033,3.0,1,1,1
56433,3.0,1,1,1
13627,3.0,1,1,1
67771,3.0,1,1,1
66445,3.0,1,1,1
69146,3.0,1,1,1
66440,3.0,1,1,1
19921,3.0,1,1,1
11674,3.0,1,1,1
23962,3.0,1,1,1
66508,3.0,1,1,1
18036,3.0,1,1,1
64685,3.0,1,1,1
11431,3.0,1,1,1
68192,3.0,1,1,1
19698,3.0,1,1,1
28200,3.0,1,1,1
56857,3.0,1,1,1
21939,3.0,1,1,1
66401,3.0,1,1,1
56551,3.0,1,1,1
26442,3.0,1,1,1
22029,3.0,1,1,1
12468,3.0,1,1,1
11867,3.0,1,1,1
17381,3.0,1,1,1
11810,3.0,1,1,1
11461,3.0,1,1,1
66988,3.0,1,1,1
18655,3.0,1,1,1
64136,3.0,1,1,1
66229,3.0,1,1,1
67264,3.0,1,1,1
102216272,3.0,1,1,1
30933,3.0,1,1,1
59042,3.0,1,1,1
12343,3.0,1,1,1
17387,3.0,1,1,1
276770,3.0,1,1,1
20751,3.0,1,1,1
14827,3.0,1,1,1
108960,3.0,1,1,1
11770,3.0,1,1,1
13036,3.0,1,1,1
74167,3.0,1,1,1
26987,3.0,1,1,1
58810,3.0,1,1,1
67391,3.0,1,1,1
14127,3.0,1,1,1
98221,3.0,1,1,1
100038882,3.0,1,1,1
97212,3.0,1,1,1
11840,3.0,1,1,1
26961,3.0,1,1,1
19175,3.0,1,1,1
229906,3.0,1,1,1
72900,3.0,1,1,1
69875,3.0,1,1,1
226646,3.0,1,1,1
12527,3.0,1,1,1
11363,3.0,1,1,1
73078,3.0,1,1,1
13040,3.0,1,1,1
53378,3.0,1,1,1
66154,3.0,1,1,1
11655,3.0,1,1,1
93765,3.0,1,1,1
12261,3.0,1,1,1
23918,3.0,1,1,1
12267,3.0,1,1,1
67942,3.0,1,1,1
15162,3.0,1,1,1
16785,3.0,1,1,1
19186,3.0,1,1,1
14319,3.0,1,1,1
12047,3.0,1,1,1
13423,3.0,1,1,1
54709,3.0,1,1,1
22630,3.0,1,1,1
107392,2.0,1,0,1
217151,2.0,1,0,1
13033,2.0,1,0,1
18636,2.0,1,0,1
14004,2.0,1,1,0
17938,2.0,1,0,1
68045,2.0,1,0,1
12751,2.0,1,1,0
73723,2.0,1,1,0
73736,2.0,1,0,1
12238,2.0,1,0,1
68205,2.0,1,0,1
14562,2.0,1,0,1
225467,2.0,1,0,1
66248,2.0,1,0,1
19243,2.0,1,0,1
67830,2.0,1,0,1
