Mouse#,Group,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27
1901,Lean,25.9,25,25.4,27,26.8,27.5,27.8,27.9,28.6,29.2,30.1,30.3,31.3,32.2,32.8,33.1,33.2,34.1,33.4,33.9,33.8,35,35.4,36.5,35.9,37.1,37.3
1902,Lean,25.5,26.8,27.2,27.7,27.7,28.3,28.6,29.1,29.3,28.3,30,30.2,31.1,31.2,31.1,30.8,31.7,32.1,31.8,32.4,32.6,33.4,34.4,35.1,34.7,35.3,36.1
1909,Lean,27.2,27.2,26.5,26.6,27.8,28.7,29.6,30.9,30.4,29.9,30.3,31,31.2,32.2,31.6,32.4,31.6,32.8,33.6,34.4,34.3,35,35.5,36.8,36.4,37.6,37.3
1911,Lean,23.1,24.9,25.4,26.2,26.8,27.6,27.9,28.6,28.3,28.7,29.4,28.9,29.7,29.4,29.3,29.7,30.3,30.4,31.4,30.7,31.9,31.5,31.7,31.9,31.8,32.4,32.4
1914,Obese,26,28.9,28.4,29.3,31.3,32,32.7,32.3,32,33.6,37.5,39.8,40.7,43.4,45.9,46.3,48.9,50.1,51.4,52.7,54.8,53.2,54.3,54.1,55,53.5,
1917,Obese,26.7,27.6,27.1,27.8,27.6,27.7,28.6,29.1,29.1,31.2,34.1,35.2,36.9,39.2,41.3,42,44.6,46.1,49.8,50.7,51.9,52.9,52.7,53.1,53.4,52.9,53
1919,Obese,23.4,27.5,27.9,28.8,28.9,29.4,30.4,30.8,30.4,29.8,34.7,37.2,39.6,40.8,42.9,42.6,45.2,46.5,49.6,51.5,53,53.5,54.1,55.9,56.2,55.9,55.6
1921,Obese,24.5,26.8,26.4,27.1,27.3,27.7,28.5,29.8,28.9,29.2,34.6,36.1,38.7,41,43.2,43.8,46.8,48.2,51.3,52.1,52.8,52.1,52.3,52.7,53.1,53.2,55.7
1928,WL,28,37.3,40.2,43.9,44.9,47.9,49.2,50.1,50.5,51.8,51.6,52.7,53.3,53.9,54.7,54,53.4,54.4,55.8,50.3,48.2,46.8,44.6,43.9,42.8,43.1,42.4
1931,WL,23,35,38.2,40.9,43.6,45.4,47.7,49.8,51.4,51.1,53.4,53,53.5,53.5,54.7,54.5,54.6,54.9,55.8,48.3,45.9,44.2,42.4,42.4,41.6,41,41.2
1933,WL,24.5,30.9,33.2,36,37.7,41.3,41.5,42.6,44.4,46.2,47.8,48.2,49.3,50.2,51.1,50.6,51.1,51.7,52.4,46.4,43.2,45.7,41.4,40.4,39.8,39.6,39
1935,WL,23.6,31.1,33.6,35.7,38.2,40.3,41.2,42.4,43.3,45.2,46.7,46.6,47.5,48.1,48.3,49,49.4,49.8,50.7,43.9,40.6,39.2,38.1,37.6,37.2,36.5,36
1937,WC,22.1,31.1,32.2,36,37.8,40.8,41.1,44.3,46.2,48.8,40.3,36.2,33.9,33.1,32.3,32.2,31.9,32.8,33.1,40.8,45,49.5,50.8,52.4,53.3,53.2,56.8
1938,WC,23.3,30.9,33.2,36.3,38.8,41.8,45.9,45.2,46.7,47.1,37.5,34.7,34,34.2,33.9,34.1,34,34.9,36.1,43.4,47.7,47.5,51.8,52.5,53.3,53.8,53.5
1944,WC,26,30.4,32.8,34.9,38.1,39.2,41.1,42,42.2,43.9,38.6,35.8,35.8,35.7,35.5,35.6,36,36.2,36.2,44.6,48.6,50.4,53,53.4,53.9,54.9,50.8
1946,WC,24.2,31.9,33.8,36,38.4,40.2,42.3,44.4,43.6,45.5,39.3,38.1,38.8,38.9,39.1,38.1,39.1,39.4,40.5,46.2,48.7,50.4,51.8,52.7,53.1,53.6,53
