Mouse#,Group,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27
1901,Lean,12.1694,11.4191,12.2513,11.8284,10.8461,11.76014,11.20079,12.29221,11.43271,11.842,11.86929,11.96479,12.21036,11.91021,11.39179,10.62779,13.2745,11.35086,14.707,12.55143,13.16536,13.02893,13.09714,12.91979,13.77929,13.77929
1902,Lean,12.1694,11.4191,12.2513,11.8284,10.8461,11.76014,11.20079,12.29221,11.43271,11.842,11.86929,11.96479,12.21036,11.91021,11.39179,10.62779,13.2745,11.35086,14.707,12.55143,13.16536,13.02893,13.09714,12.91979,13.77929,13.77929
1909,Lean,7.51721,10.8051,10.7779,10.4231,10.7642,10.99614,10.7915,10.92793,9.959286,10.68236,10.75057,11.29629,11.28264,11.00979,10.9825,12.33314,13.31543,11.78743,14.16129,11.86929,11.89657,11.85564,11.62371,11.35086,12.34679,12.34679
1911,Lean,7.51721,10.8051,10.7779,10.4231,10.7642,10.99614,10.7915,10.92793,9.959286,10.68236,10.75057,11.29629,11.28264,11.00979,10.9825,12.33314,13.31543,11.78743,14.16129,11.86929,11.89657,11.85564,11.62371,11.35086,12.34679,12.34679
1914,Obese,10.9143,11.7738,11.5964,12.7151,12.4423,12.94707,12.10121,12.93343,16.09518,18.03032,17.06275,14.27168,16.57896,17.26743,15.51836,13.63904,17.50932,14.14143,17.43489,16.00214,14.36471,15.09039,14.73686,15.38811,14.77407,14.77407
1917,Obese,11.3236,10.8051,10.9825,10.7642,10.9689,11.89657,11.29629,12.033,16.02075,16.87668,15.85329,15.3695,16.44871,16.43011,16.4115,17.24882,17.80704,15.29507,18.55132,15.61139,14.55079,14.51357,14.94154,14.66243,15.77886,15.77886
1919,Obese,11.3236,10.8051,10.9825,10.7642,10.9689,11.89657,11.29629,12.033,16.02075,16.87668,15.85329,15.3695,16.44871,16.43011,16.4115,17.24882,17.80704,15.29507,18.55132,15.61139,14.55079,14.51357,14.94154,14.66243,15.77886,15.77886
1921,Obese,10.8324,10.6005,9.57729,10.123,10.3004,10.81879,10.55957,9.713714,13.99257,16.91389,15.16482,13.91814,14.45775,14.21586,14.36471,14.17864,16.151,13.24829,15.70443,15.09039,14.10421,14.45775,14.17864,14.29029,14.73686,14.73686
1928,WL,18.9421,17.1558,14.5322,15.6672,16.0394,15.27646,14.8485,16.39289,14.71825,14.90432,15.70443,15.83468,15.48114,16.16961,15.38811,16.89529,18.56993,11.82836,7.680929,9.086143,9.618214,10.10936,10.62779,10.34129,10.8961,10.8961
1931,WL,18.9421,17.1558,14.5322,15.6672,16.0394,15.27646,14.8485,16.39289,14.71825,14.90432,15.70443,15.83468,15.48114,16.16961,15.38811,16.89529,18.56993,11.82836,7.680929,9.086143,9.618214,10.10936,10.62779,10.34129,10.8961,10.8961
1933,WL,14.9415,15.3137,13.6204,15.0346,15.5742,14.94154,14.62521,16.03936,14.36471,15.109,15.29507,15.96493,14.29029,15.23925,14.588,17.17439,16.9325,11.00979,5.457143,7.203429,8.253929,9.972929,10.35493,10.28671,11.06436,11.06436
1935,WL,14.9415,15.3137,13.6204,15.0346,15.5742,14.94154,14.62521,16.03936,14.36471,15.109,15.29507,15.96493,14.29029,15.23925,14.588,17.17439,16.9325,11.00979,5.457143,7.203429,8.253929,9.972929,10.35493,10.28671,11.06436,11.06436
1937,WC,14.9229,14.7927,14.9229,15.2393,16.1324,15.12761,15.29507,15.53696,11.3645,4.365714,8.540429,9.359,11.40543,11.09164,11.41907,10.94157,13.06986,15.77886,23.77993,18.47689,15.76025,16.37429,15.55557,15.51836,16.02075,16.02075
1938,WC,14.9229,14.7927,14.9229,15.2393,16.1324,15.12761,15.29507,15.53696,11.3645,4.365714,8.540429,9.359,11.40543,11.09164,11.41907,10.94157,13.06986,15.77886,23.77993,18.47689,15.76025,16.37429,15.55557,15.51836,16.02075,16.02075
1944,WC,16.7464,15.1834,14.1973,13.6576,15.0718,15.01596,13.56461,13.43436,9.318071,4.4885,7.64,9.236214,10.23214,10.23214,10.25943,11.63736,12.07393,14.36471,22.36579,17.26743,14.29029,15.18343,14.34611,14.45775,14.81129,14.81129
1946,WC,16.7464,15.1834,14.1973,13.6576,15.0718,15.01596,13.56461,13.43436,9.318071,4.4885,7.64,9.236214,10.23214,10.23214,10.25943,11.63736,12.07393,14.36471,22.36579,17.26743,14.29029,15.18343,14.34611,14.45775,14.81129,14.81129
