Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-MMU-6798695,Neutrophil degranulation,,-10,3.5,8.1,20638,510,420,36,8.6,1.4,11848|12273|12331|12359|12798|13010|13629|14569|14751|15212|15369|16423|16993|17064|17159|19025|19170|19353|20719|21648|27261|27357|56212|71665|72042|100561|109754|109905|110006|110095|113868|217303|227753|245828|381484|433375,Rhoa|C5ar1|Cap1|Cat|Cnn2|Cst3|Eef2|Gdi2|Gpi1|Hexb|Hmox2|Cd47|Lta4h|Cd93|Man2b1|Ctsa|Psmb1|Rac1|Serpinb6a|Dynlt1b|Dok3|Gyg|Rhog|Fuca1|Cotl1|Slc15a4|Cyb5r3|Rap1a|Gusb|Pygl|Acaa1a|Cd300a|Gsn|Trappc1|Gm5150|Creg1,-5.7,MyList
Reactome Gene Sets,6,R-MMU-8978868,Fatty acid metabolism,,-9.5,5.8,9,20638,170,420,20,4.8,1,11409|14775|14979|15107|15488|16922|16993|19063|20524|23986|26897|52538|57279|106529|113868|171210|269823|319446|330260|625249,Acads|Gpx1|H2-Ke6|Hadh|Hsd17b4|Phyh|Lta4h|Ppt1|Slc25a17|Eci2|Acot1|Acaa2|Slc25a20|Tecr|Acaa1a|Acot2|Pon3|Dpep2|Pon2|Gpx4,-5.5,MyList
GO Biological Processes,19,GO:0044242,cellular lipid catabolic process,,-9.1,5,8.5,20638,218,420,22,5.2,1.1,11409|14187|14705|15107|15212|15488|16922|17939|20280|20524|23986|27226|52538|57319|57357|66841|66853|74182|76192|113868|171210|231871,Acads|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Scp2|Slc25a17|Eci2|Pla2g7|Acaa2|Smpdl3a|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2|Daglb,-5.3,MyList
GO Biological Processes,19,GO:0016042,lipid catabolic process,,-8.3,3.9,7.6,20638,330,420,26,6.2,1.2,11409|11816|14187|14705|15107|15212|15488|16922|17939|19063|20280|20524|22629|23986|27226|52538|57319|57357|66841|66853|74182|76192|113868|171210|231871|394432,Acads|Apoe|Akr1b8|Bscl2|Hadh|Hexb|Hsd17b4|Phyh|Naga|Ppt1|Scp2|Slc25a17|Ywhah|Eci2|Pla2g7|Acaa2|Smpdl3a|Srd5a3|Etfdh|Pnpla2|Gpcpd1|Abhd12|Acaa1a|Acot2|Daglb|Ugt1a7c,-4.7,MyList
Reactome Gene Sets,6,R-MMU-556833,Metabolism of lipids,,-7.2,2.8,6.5,20638,591,420,34,8.1,1.3,11409|11677|14187|14775|14979|15107|15212|15446|15488|16922|16993|19025|19063|20524|20773|23986|26897|52538|57279|57357|66853|69769|104725|106529|109151|113868|171210|219024|228983|269823|271457|319446|330260|625249,Acads|Akr1b3|Akr1b8|Gpx1|H2-Ke6|Hadh|Hexb|Hpgd|Hsd17b4|Phyh|Lta4h|Ctsa|Ppt1|Slc25a17|Sptlc2|Eci2|Acot1|Acaa2|Slc25a20|Srd5a3|Pnpla2|Tnfaip8l2|Sptssa|Tecr|Chd9|Acaa1a|Acot2|Pip4p1|Osbpl2|Pon3|Rab5a|Dpep2|Pon2|Gpx4,-3.6,MyList
KEGG Pathway,24,ko04142,Lysosome,,-6.6,5.5,7.3,20638,124,420,14,3.3,0.88,11433|12492|15212|17159|17775|17939|19025|19063|19141|27426|56464|71665|108012|110006,Acp5|Scarb2|Hexb|Man2b1|Laptm4a|Naga|Ctsa|Ppt1|Lgmn|Nagpa|Ctsf|Fuca1|Ap1s2|Gusb,-3.1,MyList
KEGG Pathway,24,mmu04142,Lysosome,,-6.6,5.5,7.3,20638,125,420,14,3.3,0.88,11433|12492|15212|17159|17775|17939|19025|19063|19141|27426|56464|71665|108012|110006,Acp5|Scarb2|Hexb|Man2b1|Laptm4a|Naga|Ctsa|Ppt1|Lgmn|Nagpa|Ctsf|Fuca1|Ap1s2|Gusb,-3.1,MyList
GO Biological Processes,19,GO:0045324,late endosome to vacuole transport,,-6.5,14,9.4,20638,24,420,7,1.7,0.62,66700|66914|68942|71817|76959|230514|234852,Chmp3|Vps28|Chmp2b|Tmem50a|Chmp5|Leprot|Chmp1a,-3.1,MyList
GO Biological Processes,19,GO:0044282,small molecule catabolic process,,-6.2,3.4,6.2,20638,317,420,22,5.2,1.1,11409|11816|12039|14187|14635|14751|15107|15488|16922|20280|20524|23986|52538|57320|57357|66841|76952|105446|113868|171210|213484|269823,Acads|Apoe|Bckdha|Akr1b8|Galk1|Gpi1|Hadh|Hsd17b4|Phyh|Scp2|Slc25a17|Eci2|Acaa2|Park7|Srd5a3|Etfdh|Nt5c2|Gmpr2|Acaa1a|Acot2|Nudt18|Pon3,-2.9,MyList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,,-6,2.6,5.8,20638,605,420,32,7.6,1.3,11409|13806|13808|14635|14751|14775|14979|15107|15446|15488|16922|18777|19079|20280|20524|21937|23986|26457|26897|51798|52538|57320|66841|72674|106529|113868|171210|231871|269823|394432|433182|625249,Acads|Eno1|Eno3|Galk1|Gpi1|Gpx1|H2-Ke6|Hadh|Hpgd|Hsd17b4|Phyh|Lypla1|Prkab1|Scp2|Slc25a17|Tnfrsf1a|Eci2|Slc27a1|Acot1|Ech1|Acaa2|Park7|Etfdh|Adipor1|Tecr|Acaa1a|Acot2|Daglb|Pon3|Ugt1a7c|Eno1b|Gpx4,-2.7,MyList
GO Biological Processes,19,GO:1901657,glycosyl compound metabolic process,,-5.9,5.7,6.9,20638,104,420,12,2.9,0.81,11677|11848|14187|17939|27369|56248|67763|71665|76952|105446|110006|213484,Akr1b3|Rhoa|Akr1b8|Naga|Dguok|Ak3|Prpsap1|Fuca1|Nt5c2|Gmpr2|Gusb|Nudt18,-2.6,MyList
